BAC-02
      Date,      Time,   Battery,  Fix,       Latitude,      Longitude,    Dp>0.3,    Dp>0.5,    Dp>1.0,    Dp>2.5,    Dp>5.0,   Dp>10.0,   PM1_Std, PM2.5_Std,  PM10_Std,   PM1_Env, PM2.5_Env,  PM10_Env,   Temp(C),     RH(%),    P(hPa),   Alti(m)
 2021/4/20,     0:3:5,     47.61,    0,         0.0000,         0.0000,       171,        45,        13,         9,         0,         0,         0,         2,         2,         0,         2,         2,       nan,  nan,  nan,  nan
 2021/4/20,    0:3:15,     47.61,    0,         0.0000,         0.0000,       147,        49,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,       nan,  nan,  nan,  nan
 2021/4/20,    0:3:25,     47.61,    0,         0.0000,         0.0000,       117,        39,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,       nan,  nan,  nan,  nan
 2021/4/20,    0:3:35,     47.61,    0,         0.0000,         0.0000,        51,        17,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,       nan,  nan,  nan,  nan
 2021/4/20,    0:3:45,     47.61,    0,         0.0000,         0.0000,       108,        36,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,       nan,  nan,  nan,  nan
 2021/4/20,    0:3:55,     47.61,    0,         0.0000,         0.0000,       132,        40,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,       nan,  nan,  nan,  nan
 2021/4/20,     0:4:5,     47.61,    0,         0.0000,         0.0000,       162,        50,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,       nan,  nan,  nan,  nan
 2021/4/20,    0:4:15,     47.61,    0,         0.0000,         0.0000,       249,        65,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,       nan,  nan,  nan,  nan
 2021/4/20,    0:4:29,     47.61,    0,         0.0000,         0.0000,       156,        45,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,       nan,  nan,  nan,  nan
 2021/4/20,    0:4:39,     47.61,    0,         0.0000,         0.0000,       123,        38,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,       nan,  nan,  nan,  nan
 2021/4/20,    0:4:49,     47.61,    0,         0.0000,         0.0000,        99,        33,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0,       nan,  nan,  nan,  nan
 2021/4/20,    0:4:59,     47.61,    0,         0.0000,         0.0000,        90,        22,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,       nan,  nan,  nan,  nan
 2021/4/20,     0:5:9,     47.61,    0,         0.0000,         0.0000,        96,        24,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,       nan,  nan,  nan,  nan
 2021/4/20,    0:5:19,     47.61,    0,         0.0000,         0.0000,       105,        31,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,       nan,  nan,  nan,  nan
 2021/4/20,    0:5:29,     47.61,    0,         0.0000,         0.0000,        36,        12,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,       nan,  nan,  nan,  nan
 2021/4/20,    0:5:39,     47.61,    0,         0.0000,         0.0000,       102,        23,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0,       nan,  nan,  nan,  nan
 2021/4/20,    0:5:49,     47.61,    0,         0.0000,         0.0000,        75,        14,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0,       nan,  nan,  nan,  nan
 2021/4/20,    0:5:59,     47.61,    0,         0.0000,         0.0000,        18,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,       nan,  nan,  nan,  nan
 2021/4/20,     0:6:9,     47.18,    0,         0.0000,         0.0000,        84,        24,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,       nan,  nan,  nan,  nan
 2021/4/20,    0:6:19,     47.18,    0,         0.0000,         0.0000,       228,        68,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,       nan,  nan,  nan,  nan
 2021/4/20,    0:6:29,     47.18,    0,         0.0000,         0.0000,       378,       118,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,       nan,  nan,  nan,  nan
 2021/4/20,    0:6:39,     47.18,    0,         0.0000,         0.0000,       834,       266,         0,         0,         0,         0,         3,         3,         3,         3,         3,         3,       nan,  nan,  nan,  nan
 2021/4/20,    0:6:49,     47.18,    0,         0.0000,         0.0000,      1326,       426,         0,         0,         0,         0,         6,         6,         6,         6,         6,         6,       nan,  nan,  nan,  nan
 2021/4/20,    0:6:59,     47.18,    0,         0.0000,         0.0000,      1170,       382,         0,         0,         0,         0,         5,         5,         5,         5,         5,         5,       nan,  nan,  nan,  nan
 2021/4/20,     0:7:9,     47.18,    0,         0.0000,         0.0000,       822,       266,         0,         0,         0,         0,         2,         2,         2,         2,         2,         2,       nan,  nan,  nan,  nan
 2021/4/20,    0:7:19,     47.18,    0,         0.0000,         0.0000,       666,       214,         0,         0,         0,         0,         2,         2,         2,         2,         2,         2,       nan,  nan,  nan,  nan
 2021/4/20,    0:7:29,     47.18,    0,         0.0000,         0.0000,       594,       190,         0,         0,         0,         0,         1,         1,         1,         1,         1,         1,       nan,  nan,  nan,  nan
 2021/4/20,    0:7:39,     47.18,    0,         0.0000,         0.0000,       342,       110,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,       nan,  nan,  nan,  nan
 2021/4/20,    0:7:49,     47.18,    0,         0.0000,         0.0000,       342,       114,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0,       nan,  nan,  nan,  nan
 2021/4/20,    0:7:59,     47.18,    0,         0.0000,         0.0000,       450,       146,         3,         0,         0,         0,         0,         1,         1,         0,         1,         1,       nan,  nan,  nan,  nan
 2021/4/20,     0:8:9,     47.18,    0,         0.0000,         0.0000,       426,       138,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,       nan,  nan,  nan,  nan
 2021/4/20,    0:8:19,     47.18,    0,         0.0000,         0.0000,       438,       138,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,       nan,  nan,  nan,  nan
 2021/4/20,    0:8:29,     47.18,    0,         0.0000,         0.0000,       405,       135,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,       nan,  nan,  nan,  nan
 2021/4/20,    0:8:39,     47.18,    0,         0.0000,         0.0000,       366,       122,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,       nan,  nan,  nan,  nan
 2021/4/20,    0:8:49,     47.18,    0,         0.0000,         0.0000,       570,       186,         0,         0,         0,         0,         2,         2,         2,         2,         2,         2,       nan,  nan,  nan,  nan
 2021/4/20,    0:8:59,     47.18,    0,         0.0000,         0.0000,       642,       206,         0,         0,         0,         0,         2,         2,         2,         2,         2,         2,       nan,  nan,  nan,  nan
 2021/4/20,     0:9:9,     47.18,    0,         0.0000,         0.0000,       618,       198,         0,         0,         0,         0,         2,         2,         2,         2,         2,         2,       nan,  nan,  nan,  nan
