BAC-06
      Date,      Time,   Battery,  Fix,       Latitude,      Longitude,    Dp>0.3,    Dp>0.5,    Dp>1.0,    Dp>2.5,    Dp>5.0,   Dp>10.0,   PM1_Std, PM2.5_Std,  PM10_Std,   PM1_Env, PM2.5_Env,  PM10_Env,   Temp(C),     RH(%),    P(hPa),   Alti(m),   dBA
 2021/4/20,   0:39:10,  3.980000,    0,              0,              0,       114,        38,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0,       nan,  nan,  nan,  nan,   63
 2021/4/20,   0:39:20,  3.982500,    0,              0,              0,        36,        12,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,       nan,  nan,  nan,  nan,   59
 2021/4/20,   0:39:30,  3.982500,    0,              0,              0,        66,        22,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,       nan,  nan,  nan,  nan,   68
 2021/4/20,   0:39:40,  3.983750,    0,              0,              0,        57,        16,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,       nan,  nan,  nan,  nan,   65
 2021/4/20,   0:39:50,  3.985000,    0,              0,              0,        27,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,       nan,  nan,  nan,  nan,   63
 2021/4/20,    0:40:0,  3.985000,    0,              0,              0,        63,        21,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,       nan,  nan,  nan,  nan,   57
 2021/4/20,   0:40:10,  3.985000,    0,              0,              0,        75,        25,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,       nan,  nan,  nan,  nan,   58
 2021/4/20,   0:40:20,  3.985000,    0,              0,              0,        75,        25,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,       nan,  nan,  nan,  nan,   67
 2021/4/20,   0:40:30,  3.985000,    0,              0,              0,       105,        35,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,       nan,  nan,  nan,  nan,   62
 2021/4/20,   0:40:40,  3.983750,    0,              0,              0,        90,        30,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0,       nan,  nan,  nan,  nan,   58
 2021/4/20,   0:40:50,  3.980000,    0,              0,              0,        78,        26,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0,       nan,  nan,  nan,  nan,   59
 2021/4/20,    0:41:0,  3.980000,    0,              0,              0,        90,        30,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,       nan,  nan,  nan,  nan,   70
 2021/4/20,   0:41:10,  3.980000,    0,              0,              0,       168,        48,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0,       nan,  nan,  nan,  nan,   66
 2021/4/20,   0:41:20,  3.981250,    0,              0,              0,       123,        37,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0,       nan,  nan,  nan,  nan,   59
 2021/4/20,   0:41:30,  3.982500,    0,              0,              0,        93,        31,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,       nan,  nan,  nan,  nan,   66
 2021/4/20,   0:41:40,  3.985000,    0,              0,              0,        39,        13,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,       nan,  nan,  nan,  nan,   60
 2021/4/20,   0:41:50,  3.985000,    0,              0,              0,        66,        22,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,       nan,  nan,  nan,  nan,   65
 2021/4/20,    0:42:0,  3.985000,    0,              0,              0,        84,        25,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,       nan,  nan,  nan,  nan,   65
 2021/4/20,   0:42:10,  3.985000,    0,              0,              0,        45,        15,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,       nan,  nan,  nan,  nan,   69
 2021/4/20,   0:42:20,  3.985000,    0,              0,              0,        81,        27,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0,       nan,  nan,  nan,  nan,   67
 2021/4/20,   0:42:30,  3.980000,    0,              0,              0,        93,        27,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0,       nan,  nan,  nan,  nan,   65
 2021/4/20,   0:42:40,  3.980000,    0,              0,              0,       102,        30,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0,       nan,  nan,  nan,  nan,   67
 2021/4/20,   0:42:50,  3.978750,    0,              0,              0,       390,       119,        26,         3,         0,         0,         1,         3,         3,         1,         3,         3,       nan,  nan,  nan,  nan,   68
 2021/4/20,    0:43:0,  3.982500,    0,              0,              0,      1110,       358,       119,        27,        16,         6,         7,        15,        29,         7,        15,        29,       nan,  nan,  nan,  nan,   64
 2021/4/20,   0:43:10,  3.977500,    0,              0,              0,      1089,       347,        84,        20,         3,         0,         6,        13,        18,         6,        13,        18,       nan,  nan,  nan,  nan,   68
 2021/4/20,   0:43:20,  3.980000,    0,              0,              0,      2079,       673,       201,        52,        20,        13,        12,        30,        47,        12,        30,        46,       nan,  nan,  nan,  nan,   62
 2021/4/20,   0:43:30,  3.977500,    0,              0,              0,      1896,       609,       186,        49,        16,         6,        12,        26,        43,        12,        26,        43,       nan,  nan,  nan,  nan,   60
 2021/4/20,   0:43:40,  3.982500,    0,              0,              0,      1284,       416,       138,        57,        17,        10,         6,        20,        37,         6,        20,        37,       nan,  nan,  nan,  nan,   59
 2021/4/20,   0:43:50,  3.982500,    0,              0,              0,      1335,       437,       130,        41,         6,         6,         8,        20,        29,         8,        20,        29,       nan,  nan,  nan,  nan,   65
 2021/4/20,    0:44:0,  3.980000,    0,              0,              0,       867,       265,        52,        19,        12,         6,         5,         9,        18,         5,         9,        18,       nan,  nan,  nan,  nan,   60
 2021/4/20,   0:44:10,  3.977500,    0,              0,              0,       927,       297,        41,         6,         3,         3,         6,         9,        11,         6,         9,        11,       nan,  nan,  nan,  nan,   67
 2021/4/20,   0:44:20,  3.981250,    0,              0,              0,       585,       195,        61,        16,         6,         6,         2,         8,        13,         2,         8,        13,       nan,  nan,  nan,  nan,   68
 2021/4/20,   0:44:30,  3.982500,    0,              0,              0,       405,       131,        49,        12,         6,         3,         1,         4,        10,         1,         4,        10,       nan,  nan,  nan,  nan,   63
 2021/4/20,   0:44:40,  3.980000,    0,              0,              0,      1014,       326,        68,        13,         6,         6,         7,        11,        17,         7,        11,        17,       nan,  nan,  nan,  nan,   60
 2021/4/20,   0:44:50,  3.980000,    0,              0,              0,       603,       194,        34,         3,         0,         0,         4,         4,         6,         4,         4,         6,       nan,  nan,  nan,  nan,   70
 2021/4/20,    0:45:0,  3.977500,    0,              0,              0,       336,       109,        23,         6,         3,         3,         2,         2,         5,         2,         2,         5,       nan,  nan,  nan,  nan,   67
 2021/4/20,   0:45:10,  3.976250,    0,              0,              0,       435,       141,        23,         3,         3,         3,         3,         3,         6,         3,         3,         6,       nan,  nan,  nan,  nan,   60
 2021/4/20,   0:45:20,  3.977500,    0,              0,              0,       348,       116,        12,         0,         0,         0,         2,         2,         2,         2,         2,         2,       nan,  nan,  nan,  nan,   60
 2021/4/20,   0:45:30,  3.977500,    0,              0,              0,       207,        65,         0,         0,         0,         0,         1,         1,         1,         1,         1,         1,       nan,  nan,  nan,  nan,   71
 2021/4/20,   0:45:40,  3.978750,    0,              0,              0,       210,        66,         0,         0,         0,         0,         1,         1,         1,         1,         1,         1,       nan,  nan,  nan,  nan,   57
 2021/4/20,   0:45:50,  3.981250,    0,              0,              0,       360,       117,         0,         0,         0,         0,         2,         2,         2,         2,         2,         2,       nan,  nan,  nan,  nan,   63
 2021/4/20,    0:46:0,  3.982500,    0,              0,              0,       303,        95,         0,         0,         0,         0,         1,         1,         1,         1,         1,         1,       nan,  nan,  nan,  nan,   69
 2021/4/20,   0:46:10,  3.982500,    0,              0,              0,       156,        52,         3,         3,         3,         3,         0,         0,         3,         0,         0,         3,       nan,  nan,  nan,  nan,   69
 2021/4/20,   0:46:20,  3.981250,    0,              0,              0,       174,        54,         3,         3,         3,         3,         0,         0,         3,         0,         0,         3,       nan,  nan,  nan,  nan,   59
 2021/4/20,   0:46:30,  3.980000,    0,              0,              0,       165,        51,         7,         3,         3,         3,         0,         1,         3,         0,         1,         3,       nan,  nan,  nan,  nan,   63
 2021/4/20,   0:46:40,  3.978750,    0,              0,              0,        60,        20,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,       nan,  nan,  nan,  nan,   59
 2021/4/20,   0:46:50,  3.976250,    0,              0,              0,        72,        24,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,       nan,  nan,  nan,  nan,   63
 2021/4/20,    0:47:0,  3.975000,    0,              0,              0,       162,        47,         7,         0,         0,         0,         1,         1,         1,         1,         1,         1,       nan,  nan,  nan,  nan,   66
 2021/4/20,   0:47:10,  3.976250,    0,              0,              0,       180,        53,         7,         0,         0,         0,         1,         1,         1,         1,         1,         1,       nan,  nan,  nan,  nan,   69
 2021/4/20,   0:47:20,  3.976250,    0,              0,              0,       156,        48,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,       nan,  nan,  nan,  nan,   68
 2021/4/20,   0:47:30,  3.980000,    0,              0,              0,        93,        27,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,       nan,  nan,  nan,  nan,   67
 2021/4/20,   0:47:40,  3.980000,    0,              0,              0,        39,        13,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,       nan,  nan,  nan,  nan,   59
 2021/4/20,   0:47:50,  3.980000,    0,              0,              0,        36,        12,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,       nan,  nan,  nan,  nan,   64
 2021/4/20,    0:48:0,  3.980000,    0,              0,              0,       228,        76,         0,         0,         0,         0,         1,         1,         1,         1,         1,         1,       nan,  nan,  nan,  nan,   68
 2021/4/20,   0:48:10,  3.980000,    0,              0,              0,       282,        94,         0,         0,         0,         0,         1,         1,         1,         1,         1,         1,       nan,  nan,  nan,  nan,   63
 2021/4/20,   0:48:20,  3.980000,    0,              0,              0,       123,        41,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,       nan,  nan,  nan,  nan,   64
 2021/4/20,   0:48:30,  3.977500,    0,              0,              0,        93,        31,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,       nan,  nan,  nan,  nan,   70
 2021/4/20,   0:48:39,  3.975000,    0,              0,              0,        93,        31,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,       nan,  nan,  nan,  nan,   67
 2021/4/20,   0:48:49,  3.973750,    0,              0,              0,        60,        16,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,       nan,  nan,  nan,  nan,   59
