Beta-03
      Date,      Time,   Battery,  Fix,       Latitude,      Longitude,    Dp>0.3,    Dp>0.5,    Dp>1.0,    Dp>2.5,    Dp>5.0,   Dp>10.0,   PM1_Std, PM2.5_Std,  PM10_Std,   PM1_Env, PM2.5_Env,  PM10_Env,   Temp(C),     RH(%),    P(hPa),   Alti(m)
 2021/4/20,   0:10:16,     99.21,    0,         0.0000,         0.0000,       198,        52,        16,         9,         0,         0,         0,         3,         3,         0,         3,         3,     22.10,30.63,101907.08,-48.35
 2021/4/20,   0:10:26,     99.21,    0,         0.0000,         0.0000,        48,        16,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0,     22.10,30.70,101910.69,-48.65
 2021/4/20,   0:10:36,     99.21,    0,         0.0000,         0.0000,       129,        43,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     22.11,30.36,101908.72,-48.49
 2021/4/20,   0:10:46,     99.21,    0,         0.0000,         0.0000,        99,        33,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     22.12,30.18,101910.83,-48.66
 2021/4/20,   0:10:56,     99.21,    0,         0.0000,         0.0000,        69,        23,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     22.12,30.10,101912.23,-48.78
 2021/4/20,    0:11:6,     99.21,    0,         0.0000,         0.0000,        72,        24,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     22.12,30.06,101906.19,-48.28
 2021/4/20,   0:11:16,     99.21,    0,         0.0000,         0.0000,       102,        31,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     22.12,30.09,101910.39,-48.62
 2021/4/20,   0:11:26,     99.21,    0,         0.0000,         0.0000,       132,        41,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     22.12,30.05,101902.84,-48.00
 2021/4/20,   0:11:36,     99.02,    0,         0.0000,         0.0000,        69,        23,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0,     22.13,30.04,101913.05,-48.84
 2021/4/20,   0:11:46,     99.02,    0,         0.0000,         0.0000,        87,        29,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     22.13,30.05,101907.45,-48.38
 2021/4/20,   0:11:56,     99.02,    0,         0.0000,         0.0000,        87,        25,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     22.12,30.06,101902.84,-48.00
 2021/4/20,    0:12:6,     99.02,    0,         0.0000,         0.0000,       174,        44,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     22.13,30.05,101906.05,-48.50
 2021/4/20,   0:12:16,     99.02,    0,         0.0000,         0.0000,       174,        37,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     22.13,30.04,101908.69,-48.48
 2021/4/20,   0:12:26,     99.02,    0,         0.0000,         0.0000,       243,        81,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0,     22.14,30.08,101914.69,-48.98
