S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5
71.0,111.0,89.0,102.0,74.0,68.0,88.33333333333333,69.0,126.0,118.0,123.33333333333333,103.0,115.0,259.0,44.0,74.0,74.0,54.0,108.33333333333333,6762.115646258502,82.33333333333333,85.5,125.20833333333333,59.0,54.0
84.0,130.0,86.0,77.0,85.0,41.0,84.0,81.0,112.0,135.33333333333334,142.0,139.0,76.0,239.0,41.0,71.0,60.0,63.0,107.95238095238096,7539.506802721088,77.33333333333333,85.5,126.04166666666667,50.5,63.0
126.0,121.0,90.0,74.0,87.0,57.0,94.33333333333333,66.33333333333333,119.66666666666667,99.0,139.0,160.33333333333334,58.333333333333336,255.33333333333334,56.0,108.0,50.0,42.0,110.52380952380952,9136.037414965986,102.66666666666667,88.75,124.04166666666667,53.0,42.0
82.0,87.0,120.0,83.0,133.0,61.0,96.0,55.0,106.33333333333333,93.0,129.33333333333334,126.33333333333333,79.0,272.0,57.0,108.0,79.0,61.0,108.78571428571429,10076.093537414969,91.0,100.25,119.625,68.0,61.0
79.0,70.0,96.0,97.0,101.0,73.0,105.0,50.333333333333336,99.0,95.33333333333333,98.0,111.33333333333333,111.0,281.0,68.0,58.0,62.0,57.0,104.78571428571428,9708.70918367347,78.0,85.0,118.875,65.0,57.0
63.0,107.0,110.0,91.0,99.0,78.0,111.0,91.33333333333333,101.66666666666667,153.33333333333334,83.0,126.33333333333333,126.0,253.33333333333334,39.0,52.0,72.0,55.0,113.85714285714285,6921.704081632653,68.66666666666667,98.5,130.75,55.5,55.0
97.0,109.0,122.0,95.0,79.0,72.0,109.33333333333333,98.0,106.0,147.0,85.33333333333333,123.0,111.0,213.33333333333334,29.0,68.0,64.0,69.0,111.92857142857143,4281.5629251700675,86.66666666666667,95.5,124.125,46.5,69.0
38501.0,386.0,113.0,122.0,43.0,71.0,102.0,97.66666666666667,107.0,115.33333333333333,85.0,133.0,132.0,215.0,12.0,94.0,78.0,66.0,2873.071428571428,128793597.18537416,12905.666666666666,153.25,123.375,45.0,66.0
29715.666666666668,14482.0,107.0,88.0,74.0,70.0,93.0,75.0,95.0,114.0,86.0,164.0,134.33333333333334,210.33333333333334,46.0,101.0,86.0,71.0,3250.595238095238,102362300.78401358,9968.222222222223,3683.25,121.45833333333334,66.0,71.0
29150.0,9869.0,94.0,69.0,103.0,92.0,88.0,83.0,75.0,133.0,103.0,159.66666666666666,84.0,242.33333333333334,132.0,84.0,104.0,45.0,2881.785714285714,101227635.83843537,9767.666666666666,2539.5,121.0,118.0,45.0
