S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5
89.0,77.0,104.0,45.0,80.0,58.0,105.0,251.0,440.3333333333333,81.0,78.0,80.66666666666667,117.33333333333333,111.0,191.0,88.0,171.0,95.0,122.66666666666667,13789.731292517006,74.0,79.75,158.04166666666666,181.0,95.0
83.0,77.0,113.0,60.0,58.0,71.0,120.0,296.0,427.3333333333333,75.0,80.33333333333333,80.0,83.33333333333333,111.33333333333333,172.0,72.0,148.0,98.0,123.95238095238096,14332.404761904758,71.66666666666667,79.75,159.16666666666663,160.0,98.0
102.0,84.0,151.0,73.0,51.0,60.0,120.0,264.3333333333333,387.0,59.333333333333336,85.0,104.0,74.0,113.33333333333333,190.0,96.0,150.0,79.0,123.42857142857143,13310.93537414966,90.33333333333333,86.5,150.87499999999997,170.0,79.0
127.0,114.0,139.0,73.0,70.0,82.0,105.0,220.0,380.0,48.333333333333336,111.0,124.33333333333333,64.0,120.0,173.0,67.0,154.0,68.0,126.97619047619048,12274.219387755104,89.0,101.25,146.58333333333334,163.5,68.0
113.0,132.0,154.0,78.0,96.0,99.0,120.0,181.33333333333334,385.0,63.0,105.0,116.33333333333333,86.0,95.0,161.0,51.0,133.0,62.0,130.26190476190476,10748.426870748299,80.66666666666667,120.25,143.95833333333334,147.0,62.0
83.0,87.0,117.0,44.0,79.0,112.0,160.33333333333334,209.33333333333334,363.3333333333333,89.33333333333333,86.0,115.33333333333333,91.0,99.0,129.0,48.0,87.0,64.0,123.97619047619048,12108.96088435374,58.333333333333336,98.75,151.70833333333334,108.0,64.0
133.0,116.0,78.0,51.0,849.0,113.0,147.0,199.0,338.0,92.0,75.0,123.33333333333333,80.0,97.33333333333333,125.0,48.0,97.0,47.0,177.97619047619048,67491.60034013606,77.33333333333333,289.0,143.95833333333334,111.0,47.0
2684.0,134.0,103.0,71.33333333333333,3254.0,86.0,564.0,180.0,351.3333333333333,82.0,67.33333333333333,155.33333333333334,67.33333333333333,114.0,199.0,64.0,121.0,55.0,565.2619047619047,2433624.5901360544,939.7777777777778,894.25,197.66666666666663,160.0,55.0
2851.0,83.0,85.0,78.0,904.0,69.0,897.0,222.33333333333334,363.0,62.0,54.0,150.0,88.0,149.33333333333334,231.0,51.0,133.0,91.0,432.54761904761904,821781.6921768707,993.3333333333334,285.25,248.20833333333331,182.0,91.0
2280.0,105.0,62.0,134.0,930.0,82.0,1455.3333333333333,203.0,382.3333333333333,61.333333333333336,85.0,94.33333333333333,110.0,124.0,164.0,66.0,150.0,109.0,436.30952380952385,619615.9948979593,826.6666666666666,294.75,314.4166666666667,157.0,109.0
1323.0,113.0,79.0,109.0,2856.0,65.0,1913.0,810.0,346.3333333333333,80.0,80.0,81.33333333333333,101.0,102.33333333333333,133.0,99.0,190.0,84.0,575.6428571428571,980075.0629251701,510.3333333333333,778.25,439.25000000000006,161.5,84.0
689.0,121.0,83.0,127.0,3345.0,49.0,2019.0,687.0,409.3333333333333,76.0,57.0,99.33333333333333,117.0,111.0,113.0,94.0,171.0,97.0,570.6904761904761,1468138.5595238097,303.3333333333333,899.5,446.95833333333337,142.0,97.0
167.0,80.0,97.33333333333333,131.0,3997.0,59.0,2120.0,777.3333333333334,475.0,95.33333333333333,55.0,85.0,89.0,123.0,131.0,97.0,209.0,71.0,596.5,1793191.7772108845,131.66666666666666,1058.3333333333333,477.45833333333337,170.0,71.0
126.0,67.0,103.0,145.0,1046.0,74.0,2665.0,941.0,522.3333333333334,91.33333333333333,74.33333333333333,63.0,97.0,130.33333333333334,170.0,89.0,157.0,68.0,438.95238095238096,607664.6156462583,120.0,322.5,573.0416666666665,163.5,68.0
132.0,129.0,109.0,118.0,228.0,82.0,1957.0,819.3333333333334,490.0,93.0,81.33333333333333,58.333333333333336,140.33333333333334,93.0,211.0,79.0,143.0,88.0,323.59523809523813,311699.98809523805,109.66666666666667,137.0,466.54166666666674,177.0,88.0
158.0,133.0,88.0,102.0,153.0,106.0,1548.0,1211.0,495.0,80.33333333333333,92.33333333333333,63.0,117.0,86.0,189.0,65.0,202.0,106.0,316.61904761904765,258921.69727891157,108.33333333333333,120.0,461.58333333333337,195.5,106.0
174.0,154.0,85.0,79.0,91.0,94.0,846.0,1096.3333333333333,443.0,52.333333333333336,117.0,103.33333333333333,90.0,96.0,148.0,103.0,187.0,117.0,251.5,121755.92006802718,118.66666666666667,106.0,355.5,167.5,117.0
111.0,145.0,101.0,108.0,96.0,70.0,406.3333333333333,772.0,488.0,45.0,100.0,139.33333333333334,91.0,108.33333333333333,122.0,98.0,133.33333333333334,102.0,198.64285714285714,52496.43027210884,105.66666666666667,103.0,268.75,127.66666666666667,102.0
