S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
75.0,92.0,93.0,61.0,64.0,53.0,93.0,106.0,132.0,61.333333333333336,80.66666666666667,90.0,67.0,81.0,31.0,36.0,72.0,65.0,82.07142857142857,1433.219387755102,66.11111111111111,83.4,80.66666666666667,57.666666666666664
90.0,91.0,128.0,57.0,77.0,80.0,84.0,89.33333333333333,131.33333333333334,71.0,67.0,98.0,63.333333333333336,78.0,33.0,48.0,36.0,72.0,86.07142857142857,1218.4404761904761,64.44444444444444,94.0,82.0952380952381,52.0
104.0,119.0,123.0,62.0,69.0,59.0,80.66666666666667,56.0,130.0,96.0,72.33333333333333,106.0,104.0,51.0,24.0,65.0,69.0,48.0,88.0,1652.5408163265301,58.666666666666664,99.13333333333334,83.47619047619047,60.666666666666664
124.0,114.0,95.0,54.0,62.0,69.0,84.0,65.33333333333333,114.0,88.33333333333333,81.0,108.66666666666667,117.0,39.0,26.0,76.0,83.0,35.0,86.80952380952381,1908.9863945578234,59.888888888888886,95.8,83.23809523809526,64.66666666666667
106.0,81.0,77.0,50.0,81.0,90.0,97.33333333333333,87.0,128.0,70.66666666666667,72.0,112.0,95.0,54.0,75.0,66.0,59.0,33.0,85.78571428571428,1750.2397959183672,77.55555555555556,88.46666666666667,85.85714285714286,52.666666666666664
88.0,82.0,100.0,62.0,51.0,100.0,90.0,97.0,102.66666666666667,85.0,84.0,96.66666666666667,86.0,75.33333333333333,56.0,71.0,40.0,46.0,85.69047619047619,1364.3826530612246,79.33333333333333,82.2,86.66666666666667,52.333333333333336
53.0,73.0,141.0,70.0,54.0,102.0,120.0,89.33333333333333,133.0,87.33333333333333,90.33333333333333,82.0,57.0,103.0,60.0,61.0,16.0,60.0,89.64285714285715,2235.348639455782,78.88888888888889,88.2,91.04761904761904,45.666666666666664
17705.0,88.0,90.0,60.0,358.0,85.0,117.0,86.0,141.33333333333334,87.0,85.0,76.33333333333333,85.0,98.33333333333333,34.0,67.0,39.0,48.0,1368.7142857142856,61787756.17346939,69.0,3671.6,90.14285714285715,51.333333333333336
16527.0,356.0,81.0,62.0,172.0,75.0,101.66666666666667,84.0,163.33333333333334,53.0,64.0,71.0,78.0,78.33333333333333,9.0,70.0,30.0,35.0,1283.3095238095239,18056907.81122449,48.666666666666664,3447.5333333333338,84.52380952380953,45.0
16226.666666666666,8221.0,65.0,64.0,83.0,115.0,90.0,77.0,166.0,44.333333333333336,54.0,88.33333333333333,64.0,87.0,26.0,51.0,15.0,63.0,1817.5238095238099,31346547.938775506,49.111111111111114,4937.133333333333,91.19047619047618,43.0
28662.666666666668,1891.0,268.0,78.0,51.0,104.0,94.33333333333333,72.0,163.33333333333334,59.0,49.0,106.0,79.0,101.0,225.0,55.0,51.0,59.0,2269.8809523809523,55316959.60034015,118.66666666666667,6193.4,97.19047619047619,55.0
18187.666666666668,3667.0,199.0,47.0,70.0,59.0,247.0,85.0,177.0,83.0,68.0,92.0,172.0,124.0,513.0,36.0,110.0,48.0,1662.6904761904761,49431293.00510204,227.0,4474.133333333333,105.57142857142857,64.66666666666667
