S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5
102,159,45,57,75,48,63,66,153,30,114,111,102,552,60,75,30,111,108.5,12916.25,78.0,81.75,148.875,45.0,111.0
141,78,96,48,99,81,94,48,184,0,126,138,72,634,48,102,72,60,117.83333333333333,17359.47222222222,97.0,88.5,162.0,60.0,60.0
90,78,144,57,147,63,126,48,177,0,129,120,93,699,27,81,102,42,123.5,21470.25,76.0,108.0,174.0,64.5,42.0
39,81,120,60,135,48,108,48,177,48,87,102,93,699,18,48,60,21,110.66666666666667,21980.888888888894,49.0,96.0,170.25,39.0,21.0
66,150,120,102,156,96,90,135,169,120,87,103,120,612,18,54,54,48,127.77777777777777,15343.950617283946,74.0,130.5,179.5,36.0,48.0
84,111,102,69,57,96,90,135,114,120,76,105,72,456,9,45,30,69,102.22222222222223,8351.506172839505,66.0,91.5,146.0,19.5,69.0
8337,123,84,147,63,75,90,142,114,73,99,162,138,456,9,90,48,51,572.2777777777778,3554812.4228395056,2858.0,86.25,159.25,28.5,51.0
732,147,75,81,102,81,99,120,96,45,114,219,141,456,39,123,87,30,154.83333333333334,28022.138888888905,312.0,101.25,161.25,63.0,30.0
192,627,84,21,156,93,63,120,123,45,93,178,54,552,198,138,117,9,159.05555555555554,26144.0524691358,117.0,240.0,153.5,157.5,9.0
408,540,93,51,147,111,45,79,123,64,84,138,54,552,585,150,498,9,207.27777777777777,39106.20061728394,203.0,222.75,142.375,541.5,9.0
462,75,102,102,78,105,63,69,117,51,84,115,106,438,918,231,4017,27,397.77777777777777,816132.2839506172,265.0,90.0,130.375,2467.5,27.0
2652,84,195,165,105,126,90,69,102,51,112,93,525,558,978,123,2169,69,459.22222222222223,536186.8395061728,980.0,127.5,200.0,1573.5,69.0
204,60,240,81,54,132,90,75,102,87,72,111,618,558,495,42,2970,9,333.3333333333333,441109.8888888888,109.0,121.5,214.125,1732.5,9.0
171,138,276,150,84,90,67,93,97,48,78,129,393,1344,888,66,2421,9,363.44444444444446,358169.2469135803,129.0,147.0,281.125,1654.5,9.0
183,228,267,138,66,93,126,93,114,48,123,109,696,2355,891,90,2406,9,446.3888888888889,516125.01543209876,137.0,163.5,458.0,1648.5,9.0
123,276,297,138,78,93,180,100,114,106,123,90,696,2355,558,132,930,18,355.94444444444446,291503.83024691354,131.0,186.0,470.5,744.0,18.0
141,102,480,456,138,111,144,81,135,135,123,108,796,1723,135,147,468,45,303.77777777777777,155149.83950617284,248.0,207.75,405.625,301.5,45.0
183,141,426,291,168,171,189,81,222,135,85,126,774,1452,183,96,288,9,278.8888888888889,107942.87654320987,190.0,226.5,383.0,235.5,9.0
303,225,294,219,165,171,189,91,222,106,111,129,981,1452,141,72,132,9,278.44444444444446,121358.46913580247,198.0,213.75,410.125,136.5,9.0
303,105,315,138,171,135,180,141,202,9,135,132,837,1255,144,48,120,0,242.77777777777777,91637.7283950617,163.0,181.5,361.375,132.0,0.0
219,132,237,36,105,147,90,141,135,9,57,165,495,726,108,105,102,18,168.16666666666666,29373.47222222222,120.0,155.25,227.25,105.0,18.0
135,174,165,108,108,132,135,141,135,67,63,198,495,726,99,63,114,39,172.05555555555554,27111.274691358023,102.0,144.75,245.0,106.5,39.0
111,84,174,63,156,174,63,129,147,168,63,204,495,741,30,21,105,45,165.16666666666666,30095.47222222222,65.0,147.0,251.25,67.5,45.0
120,135,123,72,108,279,108,129,264,168,123,210,360,894,81,39,186,57,192.0,35506.0,77.0,161.25,282.0,133.5,57.0
216,135,150,39,57,129,108,145,264,120,111,145,387,894,30,48,159,51,177.11111111111111,37465.76543209877,101.0,117.75,271.75,94.5,51.0
135,204,144,39,84,84,148,75,211,81,93,81,330,880,54,69,84,39,157.5,35726.25,81.0,129.0,237.375,69.0,39.0
216,174,87,135,153,111,162,75,213,81,159,120,243,492,42,117,330,36,163.66666666666666,11474.222222222223,156.0,131.25,193.125,186.0,36.0
174,150,186,123,123,90,126,70,213,79,204,159,243,492,42,126,387,57,169.11111111111111,12333.876543209875,141.0,137.25,198.25,214.5,57.0
180,141,138,69,72,75,99,69,163,78,204,276,262,315,93,78,174,69,141.94444444444446,5937.385802469135,109.0,106.5,183.25,133.5,69.0
162,186,117,90,123,108,99,69,111,78,258,393,291,204,30,69,159,27,143.0,8516.0,107.0,133.5,187.875,94.5,27.0
102,207,114,129,156,84,99,165,111,84,138,256,210,204,9,150,114,144,137.55555555555554,3150.3580246913575,127.0,140.25,158.375,61.5,144.0
111,117,90,126,120,84,117,204,84,27,126,120,159,174,39,84,60,165,111.5,1999.25,107.0,102.75,126.375,49.5,165.0
129,84,54,39,132,42,198,204,93,27,90,222,129,135,60,159,54,72,106.83333333333333,3406.1388888888873,109.0,78.0,137.25,57.0,72.0
87,84,63,9,69,81,153,163,93,102,126,324,129,135,39,81,75,90,105.72222222222223,4186.867283950617,59.0,74.25,153.125,57.0,90.0
108,111,66,60,60,69,108,120,97,114,126,241,190,163,18,60,84,102,105.38888888888889,2603.2376543209875,76.0,76.5,144.875,51.0,102.0
102,189,123,93,87,102,99,120,117,114,154,159,177,162,9,9,120,42,109.88888888888889,2460.987654320987,68.0,125.25,137.75,64.5,42.0
156,111,87,39,144,156,99,99,117,97,189,142,108,162,30,30,54,39,103.27777777777777,2308.645061728395,75.0,124.5,126.625,42.0,39.0
102,39,114,51,150,105,90,57,82,84,60,126,162,148,9,66,60,123,90.44444444444444,1651.2469135802467,73.0,102.0,101.125,34.5,123.0
63,63,126,84,111,99,63,57,57,84,30,138,126,162,0,126,36,111,85.33333333333333,1722.222222222222,91.0,99.75,89.625,18.0,111.0
69,72,165,72,105,96,90,123,57,87,108,150,126,162,9,126,72,102,99.5,1459.25,89.0,109.5,112.875,40.5,102.0
57,93,210,105,75,66,99,159,58,69,108,159,111,187,9,69,135,18,99.27777777777777,2801.5339506172836,77.0,111.0,118.75,72.0,18.0
144,150,204,84,78,129,144,159,45,69,93,168,132,54,39,108,72,57,107.16666666666667,2196.805555555556,112.0,140.25,108.0,55.5,57.0
111,84,117,123,84,117,144,90,45,123,36,97,177,54,30,156,9,69,92.55555555555556,1986.6913580246912,130.0,100.5,95.75,19.5,69.0
111,81,87,159,45,105,126,93,85,78,81,27,81,81,33,102,9,39,79.05555555555556,1312.608024691358,124.0,79.5,81.5,21.0,39.0
123,105,93,90,54,138,81,93,144,78,60,112,108,144,21,102,63,87,94.22222222222223,1001.0617283950618,105.0,97.5,102.5,42.0,87.0
132,114,138,27,108,126,54,97,144,63,60,198,108,144,42,60,75,129,101.05555555555556,1876.4969135802473,73.0,121.5,108.5,58.5,129.0
144,228,75,150,108,72,135,102,123,69,60,162,94,121,42,51,39,81,103.11111111111111,2255.8765432098767,115.0,120.75,108.25,40.5,81.0
102,216,75,171,54,30,144,102,135,69,81,126,63,93,9,51,39,120,93.33333333333333,2595.8888888888882,108.0,93.75,101.625,24.0,120.0
99,57,81,129,48,9,144,108,135,79,72,99,102,93,9,45,84,63,80.88888888888889,1383.2098765432097,91.0,48.75,104.0,46.5,63.0
120,48,120,120,36,36,121,81,126,135,114,72,141,78,42,90,186,102,98.22222222222223,1597.2839506172838,110.0,60.0,108.5,114.0,102.0
120,114,147,93,54,69,90,81,111,135,93,75,111,147,51,93,147,99,101.66666666666667,852.8888888888888,102.0,96.0,105.375,99.0,99.0
171,66,165,117,48,60,81,55,111,153,150,78,111,147,36,81,84,48,97.88888888888889,1832.3209876543206,123.0,84.75,110.75,60.0,48.0
150,102,90,117,75,18,99,30,73,153,150,102,100,123,30,39,114,87,91.77777777777777,1637.9506172839504,102.0,71.25,103.75,72.0,87.0
81,60,153,105,84,63,99,30,78,153,117,126,54,72,42,90,72,96,87.5,1107.25,92.0,90.0,91.125,57.0,96.0
