S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5
162,114,75,39,72,69,126,204,132,60,51,43,102,144,126,129,252,87,110.38888888888889,3038.015432098766,110.0,82.5,107.75,189.0,87.0
78,81,102,51,54,66,126,204,132,81,93,27,102,144,135,105,114,60,97.5,1647.25,78.0,75.75,113.625,124.5,60.0
141,90,150,90,72,36,126,130,129,39,93,108,87,112,177,135,168,48,107.27777777777777,1630.7561728395062,122.0,87.0,103.0,172.5,48.0
183,75,84,57,111,66,117,39,168,39,75,189,111,72,204,123,204,75,110.66666666666667,2968.888888888888,121.0,84.0,101.25,204.0,75.0
144,99,144,57,114,69,117,0,168,84,60,151,102,72,177,48,147,60,100.72222222222223,2192.756172839506,83.0,106.5,94.25,162.0,60.0
93,114,66,30,87,93,139,0,199,141,105,114,90,72,78,9,36,78,85.77777777777777,2240.6172839506175,44.0,90.0,107.5,57.0,78.0
114,138,27,42,1266,168,90,0,159,141,63,133,63,54,93,42,57,36,149.22222222222223,75636.95061728395,66.0,399.75,87.875,75.0,36.0
162,141,84,108,1323,111,90,0,159,90,63,153,63,54,186,60,105,99,169.5,80284.25,110.0,414.75,84.0,145.5,99.0
3150,63,57,96,102,66,936,0,174,30,63,135,63,130,183,51,105,99,305.72222222222223,515475.3117283952,1099.0,72.0,191.375,144.0,99.0
2658,162,45,168,54,135,1482,0,225,30,90,117,72,108,135,81,174,90,323.6666666666667,422586.8888888888,969.0,99.0,265.5,154.5,90.0
240,171,87,189,4062,129,1482,579,225,75,42,115,90,108,87,117,258,69,451.3888888888889,871901.7932098765,182.0,1112.25,339.5,172.5,69.0
69,147,57,90,2295,72,1833,579,274,99,48,114,168,117,135,39,198,90,356.8888888888889,384530.20987654326,66.0,642.75,404.0,166.5,90.0
195,63,45,123,4173,69,1314,625,345,99,87,90,108,144,192,39,261,18,443.8888888888889,907339.5432098769,119.0,1087.5,351.5,226.5,18.0
186,75,84,183,2499,60,2559,671,345,85,102,66,108,144,189,51,135,39,421.1666666666667,575927.9166666672,140.0,679.5,510.0,162.0,39.0
204,117,84,165,216,72,1257,732,303,105,102,73,103,81,210,30,171,138,231.27777777777777,84639.53395061729,133.0,122.25,344.5,190.5,138.0
237,195,45,147,114,54,771,732,258,105,136,81,117,54,207,51,210,159,204.05555555555554,41588.385802469136,145.0,102.0,281.75,208.5,159.0
192,219,84,105,96,63,771,678,258,61,102,76,72,54,162,111,210,120,190.77777777777777,39261.95061728394,136.0,115.5,259.0,186.0,120.0
108,177,111,183,126,72,484,675,297,18,102,72,45,94,114,99,202,87,170.33333333333334,25758.55555555555,130.0,121.5,223.375,158.0,87.0
156,108,141,126,177,111,153,675,465,18,138,99,54,90,117,63,150,57,161.0,23760.0,115.0,134.25,211.5,133.5,57.0
156,150,156,93,132,108,72,481,465,84,105,126,54,90,162,66,144,36,148.88888888888889,14458.987654320983,105.0,136.5,184.625,153.0,36.0
78,162,156,72,120,135,135,297,393,105,105,93,72,91,303,123,174,51,148.05555555555554,8042.608024691357,91.0,143.25,161.375,238.5,51.0
132,84,162,105,138,96,126,297,477,105,100,60,81,54,279,126,237,78,152.05555555555554,10862.163580246914,121.0,120.0,162.5,258.0,78.0
132,138,201,126,150,30,126,235,477,88,42,78,135,54,306,90,186,45,146.61111111111111,11275.459876543215,116.0,129.75,154.375,246.0,45.0
153,168,234,129,174,105,148,153,535,39,81,96,153,132,216,123,39,66,152.44444444444446,11297.469135802465,135.0,170.25,167.125,127.5,66.0
129,153,123,21,123,114,144,153,702,39,72,117,108,144,126,114,102,87,142.83333333333334,19617.138888888898,88.0,128.25,184.875,114.0,87.0
120,90,150,72,81,60,117,202,702,73,69,138,108,144,81,93,138,57,138.61111111111111,20046.90432098765,95.0,95.25,194.125,109.5,57.0
93,39,189,45,105,72,117,264,571,135,69,130,99,99,150,102,81,111,137.27777777777777,13645.089506172837,80.0,101.25,185.5,115.5,111.0
69,60,162,126,105,96,144,264,546,135,81,123,90,81,180,147,219,129,153.16666666666666,11676.472222222224,114.0,105.75,183.0,199.5,129.0
39,126,177,150,81,39,144,291,546,106,108,91,99,81,168,63,174,108,143.94444444444446,12864.274691358021,84.0,105.75,183.25,171.0,108.0
69,105,177,105,54,30,144,297,553,102,39,60,174,147,132,18,159,66,135.05555555555554,14621.385802469134,64.0,91.5,189.5,145.5,66.0
141,96,114,141,54,42,126,297,597,102,102,55,147,156,180,36,150,75,145.05555555555554,15555.941358024687,106.0,76.5,197.75,165.0,75.0
141,135,120,177,45,18,144,307,597,75,138,51,147,156,186,0,153,162,152.88888888888889,16349.543209876538,106.0,79.5,201.875,169.5,162.0
150,93,111,63,84,81,117,390,565,57,138,64,123,114,186,93,228,141,155.44444444444446,15597.802469135804,102.0,92.25,196.0,207.0,141.0
102,93,75,27,84,93,135,390,582,57,121,78,63,135,174,132,330,69,152.22222222222223,18922.283950617282,87.0,86.25,195.125,252.0,69.0
102,60,141,111,75,60,135,490,582,33,66,102,45,135,129,90,228,102,149.22222222222223,20827.61728395062,101.0,84.0,198.5,178.5,102.0
132,69,213,171,123,69,121,492,600,18,105,126,27,118,150,51,123,111,156.61111111111111,21462.90432098766,118.0,118.5,200.875,136.5,111.0
