S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5
129,123,66,60,75,60,117,111,225,48,67,18,81,90,39,18,63,66,90.71428571428571,2296.9183673469383,69.0,81.0,94.625,51.0,66.0
159,93,84,69,123,81,117,88,225,66,48,81,81,90,30,27,69,48,100.35714285714286,1883.9438775510207,85.0,95.25,99.5,49.5,48.0
165,111,81,96,81,27,94,39,240,108,81,144,72,72,51,57,90,9,100.78571428571429,2692.168367346938,106.0,75.0,106.25,70.5,9.0
207,132,75,42,84,27,54,39,216,108,126,141,108,45,39,69,63,27,100.28571428571429,3346.3469387755104,106.0,79.5,104.625,51.0,27.0
141,102,96,18,75,102,36,48,216,103,111,138,108,45,150,48,63,27,95.64285714285714,2407.6581632653056,69.0,93.75,100.625,106.5,27.0
84,138,123,54,27,159,72,39,202,168,111,136,99,63,72,99,42,9,105.35714285714286,2505.229591836735,79.0,111.75,111.25,57.0,9.0
27,96,147,87,27,174,135,39,285,168,124,135,54,138,18,114,0,18,116.85714285714286,4550.408163265306,76.0,111.0,134.75,9.0,18.0
90,63,144,111,54,120,135,69,285,114,132,93,72,138,9,18,78,18,115.71428571428571,3035.204081632653,73.0,95.25,129.75,43.5,18.0
15429,246,81,57,93,63,121,81,286,39,108,51,72,105,9,9,63,9,1202.2857142857142,15573936.06122449,5165.0,120.75,107.875,36.0,9.0
3797,14277,75,30,66,138,108,81,297,39,72,99,54,63,9,63,9,36,1371.142857142857,13720659.265306123,1296.6666666666667,3639.0,101.625,9.0,36.0
35049,2367,651,93,45,126,117,81,297,66,18,147,54,63,72,42,9,36,2798.1428571428573,80358044.69387758,11728.0,797.25,105.375,40.5,36.0
785,894,219,21,72,69,126,123,258,129,18,97,303,63,114,27,30,78,226.92857142857142,69469.78061224488,277.6666666666667,313.5,139.625,72.0,78.0
28917,1221,192,27,72,159,81,123,201,129,43,48,591,117,27,36,129,81,2280.0714285714284,54672534.49489795,9660.0,411.0,166.625,78.0,81.0
8685,561,180,60,54,129,81,75,201,94,57,91,387,117,126,9,1437,9,769.4285714285714,4839116.387755101,2918.0,231.0,137.875,781.5,9.0
2679,468,174,48,63,36,72,69,154,60,81,135,486,223,144,9,1755,18,339.14285714285717,440830.836734694,912.0,185.25,160.0,949.5,18.0
450,195,129,69,27,27,90,69,216,60,72,93,276,969,168,9,1512,18,195.85714285714286,58459.40816326529,176.0,94.5,230.625,840.0,18.0
174,117,1980,105,27,72,63,64,216,64,54,51,276,969,249,45,2487,27,302.2857142857143,270107.20408163266,108.0,549.0,219.625,1368.0,27.0
102,30,204,120,54,36,54,81,222,102,54,82,279,2280,210,87,1368,27,264.2857142857143,317765.7755102041,103.0,81.0,394.25,789.0,27.0
126,90,207,42,105,57,90,81,231,102,85,114,1005,1473,1818,60,1785,60,272.0,166106.2857142857,76.0,114.75,397.625,1801.5,60.0
102,159,147,123,93,105,90,70,231,66,114,118,1176,1473,1077,9,1527,72,290.5,182926.82142857142,78.0,126.0,417.25,1302.0,72.0
111,225,123,210,75,36,94,90,244,81,159,123,702,1374,222,48,894,18,260.5,120226.82142857142,123.0,114.75,358.375,558.0,18.0
102,87,123,81,87,57,81,90,408,81,162,100,669,1215,120,54,345,48,238.78571428571428,99995.45408163266,79.0,88.5,350.75,232.5,48.0
90,96,75,48,129,27,72,54,408,100,75,78,669,1215,87,54,570,156,224.0,104300.71428571428,64.0,81.75,333.875,328.5,156.0
81,72,87,90,99,54,72,18,388,105,75,327,592,1335,105,54,153,93,242.5,116368.82142857142,75.0,78.0,364.0,129.0,93.0
60,39,141,84,48,66,81,18,297,105,70,576,447,1374,195,66,336,57,243.28571428571428,124326.20408163266,70.0,73.5,371.0,265.5,57.0
60,87,105,63,120,69,81,42,297,76,102,469,324,1374,87,69,99,78,233.5,114824.25,64.0,95.25,345.625,93.0,78.0
30,138,66,72,117,60,94,90,292,51,270,363,372,1150,33,51,102,78,226.07142857142858,78686.49489795919,51.0,95.25,335.25,67.5,78.0
57,141,141,168,75,39,108,90,276,51,129,291,555,480,237,81,69,48,185.78571428571428,23817.168367346938,102.0,99.0,247.5,153.0,48.0
45,183,192,174,93,51,63,82,276,73,126,219,555,480,117,90,30,30,186.57142857142858,22931.387755102038,103.0,129.75,234.25,73.5,30.0
132,138,204,105,111,42,45,99,262,48,126,294,421,694,72,30,405,27,194.35714285714286,29879.37244897959,89.0,123.75,248.625,238.5,27.0
111,141,216,81,54,60,72,99,177,48,126,369,231,705,60,90,225,90,177.85714285714286,28579.408163265303,94.0,117.75,228.375,142.5,90.0
48,306,147,78,36,66,72,94,177,76,72,223,135,705,54,117,258,111,159.64285714285714,28126.51530612245,81.0,138.75,194.25,156.0,111.0
111,270,111,48,54,60,76,69,196,90,117,78,108,702,129,42,87,30,149.28571428571428,26832.061224489797,67.0,123.75,179.5,108.0,30.0
114,183,129,96,27,84,117,69,216,90,84,91,159,486,66,9,18,30,138.92857142857142,11423.63775510204,73.0,105.75,164.0,42.0,30.0
27,51,93,117,0,78,99,105,216,138,69,105,159,486,18,51,9,27,124.5,12752.67857142857,65.0,55.5,172.125,13.5,27.0
99,39,75,114,9,48,63,30,177,165,69,180,144,504,36,99,9,9,122.57142857142857,14095.102040816326,104.0,42.75,166.5,22.5,9.0
111,129,87,66,9,60,90,30,138,165,90,255,45,435,18,57,39,30,122.14285714285714,11096.26530612245,78.0,71.25,156.0,28.5,30.0
120,48,117,69,18,51,90,43,138,96,144,195,111,435,0,18,60,78,119.64285714285714,9728.08673469388,69.0,58.5,156.5,30.0,78.0
135,105,105,60,54,21,99,120,168,21,102,135,72,300,0,45,48,78,106.92857142857143,4559.923469387755,80.0,71.25,127.125,24.0,78.0
123,60,81,126,111,51,81,120,192,21,54,103,81,129,30,57,42,39,95.21428571428571,1725.7397959183672,102.0,75.75,97.625,36.0,39.0
117,93,126,81,114,18,81,78,192,28,21,72,81,129,165,75,63,90,87.92857142857143,2069.6377551020405,91.0,87.75,85.25,114.0,90.0
138,57,153,45,84,9,90,57,211,9,21,87,85,141,48,63,54,69,84.78571428571429,3235.025510204081,82.0,75.75,87.625,51.0,69.0
150,75,63,111,90,30,81,57,186,9,130,102,90,99,117,72,9,60,90.92857142857143,1953.9234693877547,111.0,64.5,94.25,63.0,60.0
57,69,27,117,72,96,81,61,186,28,102,133,102,99,27,57,72,30,87.85714285714286,1623.122448979592,77.0,66.0,99.0,49.5,30.0
120,69,66,117,63,159,112,57,171,99,111,165,165,105,18,36,48,0,112.78571428571429,1499.8826530612243,91.0,89.25,123.125,33.0,0.0
123,96,75,84,48,123,81,57,93,99,48,151,81,192,18,45,18,27,96.5,1491.25,84.0,85.5,100.25,18.0,27.0
120,99,57,87,45,69,54,105,93,130,36,138,81,192,36,45,21,27,93.28571428571429,1659.2040816326528,84.0,67.5,103.625,28.5,27.0
90,93,75,93,63,39,72,162,142,177,36,126,105,142,48,48,30,9,101.07142857142857,1769.9234693877547,77.0,67.5,120.25,39.0,9.0
