S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5
114,126,111,180,63,18,130,66,153,72,117,102,99,105,18,96,105,39,104.0,1516.4285714285713,130.0,79.5,105.5,61.5,39.0
60,63,132,126,132,36,117,66,111,72,81,168,45,45,27,39,111,39,89.57142857142857,1546.5306122448978,75.0,90.75,88.125,69.0,39.0
120,108,72,105,126,45,117,73,111,69,60,234,45,45,84,174,60,9,95.0,2309.285714285714,133.0,87.75,94.25,72.0,9.0
99,96,93,114,135,18,90,39,103,51,60,178,63,54,117,150,117,84,85.21428571428571,1610.7397959183675,121.0,85.5,79.75,117.0,84.0
162,60,87,90,93,57,135,39,81,51,78,123,81,81,159,66,84,102,87.0,1049.142857142857,106.0,74.25,83.625,121.5,102.0
105,93,96,75,123,69,135,67,81,91,72,138,111,81,90,75,123,48,95.5,527.6785714285714,85.0,95.25,97.0,106.5,48.0
141,171,123,135,135,51,103,87,75,72,102,153,150,103,39,81,90,69,114.35714285714286,1151.801020408163,119.0,120.0,105.625,64.5,69.0
58251,999,132,84,39,69,99,87,78,72,102,153,147,108,9,93,72,108,4315.714285714285,223824859.3469388,19476.0,309.75,105.75,40.5,108.0
48240,16092,102,81,54,72,81,57,78,69,90,153,147,108,18,60,90,48,4673.142857142857,162887490.55102035,16127.0,4080.0,97.875,54.0,48.0
57555,6033,75,81,99,114,138,81,75,126,90,145,123,85,123,30,114,0,4630.0,217785148.7142857,19222.0,1580.25,107.875,118.5,0.0
40512,558,192,471,99,114,102,81,126,126,75,138,99,108,399,9,669,51,3057.214285714286,107932716.59693877,13664.0,240.75,106.875,534.0,51.0
54813,870,180,276,159,93,102,154,126,100,72,189,81,108,423,9,510,48,4094.5,197912462.6785714,18366.0,325.5,116.5,466.5,48.0
12636,321,243,255,129,57,304,303,108,87,72,240,123,117,1911,9,2892,9,1071.0714285714287,10296417.494897962,4300.0,187.5,169.25,2401.5,9.0
1764,294,309,441,111,138,375,303,111,87,39,193,228,201,954,48,1824,0,328.14285714285717,171103.55102040814,751.0,213.0,192.125,1389.0,0.0
777,414,432,408,162,102,171,432,111,73,39,147,228,201,684,105,474,9,264.07142857142856,38401.35204081633,430.0,277.5,175.25,579.0,9.0
336,345,423,411,135,93,144,612,90,48,39,156,493,738,483,150,954,39,290.2142857142857,46195.59693877551,299.0,249.0,290.0,718.5,39.0
270,312,768,369,120,114,270,612,30,48,60,165,438,1416,336,72,726,48,356.57142857142856,130142.38775510206,237.0,328.5,379.875,531.0,48.0
531,276,681,384,111,60,270,417,30,42,81,208,321,1416,183,57,441,27,344.85714285714283,123405.693877551,324.0,282.0,348.125,312.0,27.0
411,126,513,477,114,39,313,255,67,60,102,252,399,1413,48,138,312,48,324.35714285714283,115561.943877551,342.0,198.0,357.625,180.0,48.0
315,195,354,195,105,81,180,255,51,60,90,205,381,1008,120,150,321,81,248.21428571428572,55043.45408163265,220.0,183.75,278.75,220.5,81.0
153,384,315,174,102,81,189,291,51,85,57,159,381,1008,189,9,288,84,245.0,56926.0,112.0,220.5,277.625,238.5,84.0
135,324,303,240,93,42,327,234,67,54,57,144,414,855,681,33,252,51,234.92857142857142,43274.20918367347,136.0,190.5,269.0,466.5,51.0
174,372,363,165,207,84,300,234,81,54,63,129,459,567,198,72,234,30,232.28571428571428,23512.775510204083,137.0,256.5,235.875,216.0,30.0
204,366,174,150,198,99,300,229,81,54,93,126,360,567,30,111,429,48,214.35714285714286,18685.658163265307,155.0,209.25,226.25,229.5,48.0
216,237,222,207,144,99,213,276,70,66,114,123,357,466,129,153,297,57,200.71428571428572,11787.061224489797,192.0,175.5,210.625,213.0,57.0
252,159,324,207,96,66,99,276,72,66,135,207,384,393,96,114,189,30,195.42857142857142,12427.530612244898,191.0,161.25,204.0,142.5,30.0
327,123,153,78,138,93,162,327,72,54,105,291,384,393,9,114,114,9,192.85714285714286,14100.979591836734,173.0,126.75,223.5,61.5,9.0
183,228,144,69,123,117,198,90,106,42,105,228,303,402,51,135,117,27,167.0,9004.857142857143,129.0,153.0,184.25,84.0,27.0
126,237,225,198,96,117,162,90,30,42,132,165,273,354,63,45,93,51,160.5,7545.535714285714,123.0,168.75,156.0,78.0,51.0
141,96,162,219,39,72,162,72,30,40,204,183,276,354,54,60,93,60,146.42857142857142,8596.673469387755,140.0,92.25,165.125,73.5,60.0
135,72,114,81,180,60,172,141,129,90,171,201,123,373,27,63,96,30,145.85714285714286,5659.408163265306,93.0,106.5,175.0,61.5,30.0
123,126,258,96,105,36,126,141,90,90,126,273,198,417,18,84,93,48,157.5,9090.964285714284,101.0,131.25,182.625,55.5,48.0
183,105,120,105,75,27,81,150,90,79,102,345,198,417,39,174,111,87,148.35714285714286,11005.658163265303,154.0,81.75,182.75,75.0,87.0
150,75,102,108,108,84,99,162,75,126,102,268,220,307,39,114,57,27,141.85714285714286,4971.9795918367345,124.0,92.25,169.875,48.0,27.0
123,117,141,93,156,108,90,162,81,126,112,192,90,321,18,126,72,30,136.57142857142858,3539.5306122448974,114.0,130.5,146.75,45.0,30.0
111,39,276,144,114,102,90,136,81,103,150,219,99,321,18,174,72,51,141.78571428571428,5698.454081632652,143.0,132.75,149.875,45.0,51.0
99,30,225,159,84,105,103,132,99,141,189,246,111,285,9,147,9,63,143.42857142857142,4584.3877551020405,135.0,111.0,163.25,9.0,63.0
99,72,111,48,45,135,99,132,93,141,132,228,264,288,0,114,9,21,134.78571428571428,5237.311224489796,87.0,90.75,172.125,4.5,21.0
69,171,129,117,75,78,72,117,93,133,84,210,264,288,60,63,39,42,135.71428571428572,4799.34693877551,83.0,113.25,157.625,49.5,42.0
81,234,165,114,108,48,90,72,108,228,84,138,286,369,30,42,57,51,151.78571428571428,8139.311224489796,79.0,138.75,171.875,43.5,51.0
78,177,72,114,48,57,117,72,153,228,78,66,267,501,9,147,9,69,144.85714285714286,13883.693877551017,113.0,88.5,185.25,9.0,69.0
78,180,99,69,9,81,117,75,153,172,84,90,63,501,18,90,39,48,126.5,12720.67857142857,79.0,92.25,156.875,28.5,48.0
90,150,147,141,66,126,141,75,138,153,93,114,108,498,39,18,30,60,145.71428571428572,10309.775510204083,83.0,122.25,165.0,34.5,60.0
87,63,141,159,75,81,183,75,144,153,84,156,117,678,63,48,84,69,156.85714285714286,22317.97959183673,98.0,90.0,198.75,73.5,69.0
69,144,174,84,36,27,201,135,144,91,75,198,117,678,96,66,132,93,155.21428571428572,23815.596938775514,73.0,95.25,204.875,114.0,93.0
42,168,120,0,84,48,153,102,187,27,75,162,145,538,9,150,162,72,132.21428571428572,15776.311224489797,64.0,105.0,173.625,85.5,72.0
69,117,72,42,102,81,108,102,246,27,133,126,144,408,0,51,93,39,126.92857142857143,8634.923469387753,54.0,93.0,161.75,46.5,39.0
90,96,132,60,102,114,108,132,246,66,201,147,108,408,21,60,36,39,143.57142857142858,7661.387755102039,70.0,111.0,177.0,28.5,39.0
90,105,123,51,48,42,90,90,174,90,117,168,147,478,21,84,39,39,129.5,10908.67857142857,75.0,79.5,169.25,30.0,39.0
108,153,144,51,18,9,162,90,69,90,69,118,102,504,0,87,57,72,120.5,13274.392857142857,82.0,81.0,150.5,28.5,72.0
180,132,171,72,75,39,81,94,69,102,69,69,102,504,108,18,105,51,125.64285714285714,12492.372448979593,90.0,104.25,136.25,106.5,51.0
117,111,153,126,66,60,126,99,70,69,69,90,78,595,87,30,81,27,130.64285714285714,17329.515306122452,91.0,97.5,149.5,84.0,27.0
90,111,84,174,36,201,117,99,60,69,72,111,54,663,30,42,9,39,138.64285714285714,23013.229591836734,102.0,108.0,155.625,19.5,39.0
78,57,165,129,102,165,117,79,60,75,99,112,99,663,48,81,39,51,142.85714285714286,21855.97959183673,96.0,122.25,163.0,43.5,51.0
