S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5
85.0,112.0,126.5,51.5,87.0,69.5,103.5,120.5,336.5,61.833333333333336,72.66666666666667,142.5,66.5,79.5,161.0,78.5,116.0,93.5,108.21428571428572,8273.505102040815,71.66666666666667,98.75,122.9375,138.5,93.5
86.0,110.4,124.6,53.45,86.3,67.1,102.51666666666667,121.3,334.8666666666667,60.96666666666667,72.2,140.56666666666666,66.85,80.35,160.0,78.8,116.1,94.5,107.67619047619048,8241.651530612244,72.75,97.1,122.45208333333333,138.05,94.5
87.0,108.8,122.7,55.4,85.6,64.7,101.53333333333333,122.1,333.23333333333335,60.1,71.73333333333333,138.63333333333333,67.2,81.2,159.0,79.1,116.2,95.5,107.13809523809525,8209.797959183672,73.83333333333334,95.45,121.96666666666667,137.6,95.5
88.0,107.2,120.8,57.35,84.9,62.3,100.55,122.9,331.6,59.233333333333334,71.26666666666667,136.7,67.55,82.05,158.0,79.4,116.3,96.5,106.60000000000001,8177.944387755101,74.91666666666667,93.8,121.48125,137.15,96.5
89.0,105.6,118.9,59.3,84.2,59.9,99.56666666666666,123.7,329.9666666666667,58.36666666666667,70.8,134.76666666666668,67.9,82.9,157.0,79.7,116.4,97.5,106.06190476190477,8146.090816326529,76.0,92.15,120.99583333333334,136.7,97.5
90.0,104.0,117.0,61.25,83.5,57.5,98.58333333333334,124.5,328.33333333333337,57.5,70.33333333333334,132.83333333333334,68.25,83.75,156.0,80.0,116.5,98.5,105.52380952380952,8114.237244897959,77.08333333333334,90.5,120.51041666666666,136.25,98.5
91.0,102.4,115.1,63.2,82.8,55.1,97.60000000000001,125.3,326.7,56.63333333333333,69.86666666666667,130.9,68.6,84.6,155.0,80.3,116.6,99.5,104.98571428571428,8082.383673469387,78.16666666666667,88.85,120.02499999999999,135.8,99.5
92.0,100.8,113.2,65.15,82.1,52.7,96.61666666666667,126.1,325.06666666666666,55.766666666666666,69.4,128.96666666666667,68.95,85.45,154.0,80.6,116.7,100.5,104.44761904761904,8050.530102040815,79.25,87.2,119.53958333333333,135.35,100.5
93.0,99.2,111.3,67.1,81.4,50.3,95.63333333333334,126.9,323.43333333333334,54.9,68.93333333333334,127.03333333333333,69.3,86.3,153.0,80.9,116.8,101.5,103.9095238095238,8018.676530612243,80.33333333333333,85.55,119.05416666666666,134.9,101.5
94.0,97.6,109.4,69.05,80.7,47.900000000000006,94.65,127.7,321.8,54.03333333333333,68.46666666666667,125.10000000000001,69.65,87.15,152.0,81.2,116.9,102.5,103.37142857142857,7986.8229591836725,81.41666666666667,83.9,118.56875,134.45,102.5
95.0,96.0,107.5,71.0,80.0,45.5,93.66666666666667,128.5,320.1666666666667,53.166666666666664,68.0,123.16666666666667,70.0,88.0,151.0,81.5,117.0,103.5,102.83333333333333,7954.969387755101,82.5,82.25,118.08333333333333,134.0,103.5
96.3,95.8,108.75,69.5,79.55,47.7,93.81666666666668,126.9,321.8666666666667,52.9,68.86666666666667,121.26666666666667,70.2,91.21666666666667,148.05,78.65,114.05,102.05,103.18809523809523,8179.5537414965975,81.48333333333333,82.95,118.37916666666666,131.05,102.05
97.6,95.6,110.0,68.0,79.1,49.9,93.96666666666667,125.3,323.56666666666666,52.63333333333333,69.73333333333333,119.36666666666667,70.4,94.43333333333334,145.1,75.8,111.1,100.6,103.54285714285713,8404.138095238093,80.46666666666667,83.65,118.675,128.1,100.6
98.9,95.4,111.25,66.5,78.65,52.1,94.11666666666667,123.7,325.2666666666667,52.36666666666667,70.6,117.46666666666667,70.6,97.65,142.15,72.95,108.15,99.15,103.89761904761905,8628.72244897959,79.45,84.35,118.97083333333333,125.15,99.15
100.2,95.2,112.5,65.0,78.2,54.3,94.26666666666667,122.1,326.9666666666667,52.1,71.46666666666667,115.56666666666668,70.8,100.86666666666667,139.2,70.1,105.2,97.7,104.25238095238095,8853.306802721087,78.43333333333334,85.05,119.26666666666667,122.2,97.7
101.5,95.0,113.75,63.5,77.75,56.5,94.41666666666667,120.5,328.6666666666667,51.83333333333333,72.33333333333334,113.66666666666667,71.0,104.08333333333334,136.25,67.25,102.25,96.25,104.60714285714285,9077.891156462583,77.41666666666666,85.75,119.5625,119.25,96.25
102.8,94.8,115.0,62.0,77.3,58.7,94.56666666666668,118.9,330.3666666666667,51.56666666666666,73.2,111.76666666666668,71.2,107.30000000000001,133.3,64.4,99.3,94.8,104.96190476190475,9302.47551020408,76.39999999999999,86.45,119.85833333333332,116.3,94.8
104.1,94.6,116.25,60.5,76.85,60.900000000000006,94.71666666666667,117.3,332.06666666666666,51.3,74.06666666666666,109.86666666666667,71.4,110.51666666666667,130.35,61.55,96.35,93.35,105.31666666666665,9527.059863945577,75.38333333333333,87.15,120.15416666666665,113.35,93.35
105.4,94.4,117.5,59.0,76.4,63.1,94.86666666666667,115.7,333.7666666666667,51.03333333333333,74.93333333333334,107.96666666666667,71.6,113.73333333333333,127.4,58.7,93.4,91.9,105.67142857142856,9751.644217687073,74.36666666666666,87.85,120.44999999999999,110.4,91.9
106.7,94.2,118.75,57.5,75.95,65.3,95.01666666666667,114.1,335.4666666666667,50.766666666666666,75.80000000000001,106.06666666666668,71.8,116.95,124.45,55.849999999999994,90.45,90.45,106.02619047619046,9976.22857142857,73.35,88.55,120.74583333333332,107.45,90.45
108.0,94.0,120.0,56.0,75.5,67.5,95.16666666666667,112.5,337.1666666666667,50.5,76.66666666666667,104.16666666666667,72.0,120.16666666666667,121.5,53.0,87.5,89.0,106.38095238095237,10200.812925170067,72.33333333333333,89.25,121.04166666666666,104.5,89.0
108.9,95.5,121.45,55.35,76.1,71.1,96.30000000000001,112.4,337.3,50.9,76.95,103.51666666666667,73.5,120.25,124.45,54.5,88.7,89.65,107.10833333333332,10204.067091836732,72.91666666666666,91.0375,121.38958333333332,106.575,89.65
109.8,97.0,122.9,54.7,76.7,74.7,97.43333333333334,112.3,337.43333333333334,51.3,77.23333333333333,102.86666666666667,75.0,120.33333333333334,127.4,56.0,89.9,90.3,107.83571428571427,10207.3212585034,73.5,92.825,121.7375,108.65,90.3
110.7,98.5,124.35,54.05,77.3,78.3,98.56666666666666,112.2,337.56666666666666,51.7,77.51666666666667,102.21666666666667,76.5,120.41666666666667,130.35,57.5,91.1,90.95,108.56309523809522,10210.575425170067,74.08333333333333,94.6125,122.08541666666666,110.725,90.95
111.6,100.0,125.8,53.4,77.9,81.9,99.7,112.1,337.7,52.1,77.8,101.56666666666668,78.0,120.5,133.3,59.0,92.3,91.6,109.29047619047617,10213.829591836733,74.66666666666667,96.4,122.43333333333332,112.8,91.6
112.5,101.5,127.25,52.75,78.5,85.5,100.83333333333334,112.0,337.83333333333337,52.5,78.08333333333334,100.91666666666667,79.5,120.58333333333334,136.25,60.5,93.5,92.25,110.01785714285712,10217.083758503399,75.25,98.1875,122.78125,114.875,92.25
113.4,103.0,128.7,52.1,79.1,89.1,101.96666666666667,111.9,337.9666666666667,52.9,78.36666666666667,100.26666666666667,81.0,120.66666666666667,139.2,62.0,94.7,92.9,110.74523809523808,10220.337925170066,75.83333333333333,99.975,123.12916666666666,116.95,92.9
114.3,104.5,130.15,51.45,79.7,92.7,103.1,111.8,338.1,53.3,78.65,99.61666666666667,82.5,120.75,142.15,63.5,95.9,93.55,111.47261904761903,10223.592091836734,76.41666666666667,101.7625,123.47708333333333,119.025,93.55
115.2,106.0,131.6,50.8,80.3,96.3,104.23333333333333,111.7,338.23333333333335,53.7,78.93333333333334,98.96666666666667,84.0,120.83333333333333,145.1,65.0,97.1,94.2,112.19999999999997,10226.8462585034,77.0,103.55,123.82499999999999,121.1,94.2
116.1,107.5,133.05,50.15,80.9,99.9,105.36666666666667,111.6,338.3666666666667,54.1,79.21666666666667,98.31666666666668,85.5,120.91666666666667,148.05,66.5,98.3,94.85,112.92738095238093,10230.100425170065,77.58333333333334,105.3375,124.17291666666667,123.175,94.85
117.0,109.0,134.5,49.5,81.5,103.5,106.5,111.5,338.5,54.5,79.5,97.66666666666667,87.0,121.0,151.0,68.0,99.5,95.5,113.65476190476188,10233.354591836733,78.16666666666667,107.125,124.52083333333333,125.25,95.5
113.65,105.7,132.55,48.15,81.1,104.2,107.98333333333333,113.06666666666666,336.2,54.516666666666666,79.6,98.35000000000001,85.91666666666667,119.08333333333333,149.85,69.4,99.1,94.5,112.86190476190474,10023.767346938774,77.06666666666668,105.8875,124.33958333333332,124.475,94.5
110.3,102.4,130.6,46.8,80.7,104.9,109.46666666666667,114.63333333333334,333.9,54.53333333333333,79.7,99.03333333333333,84.83333333333333,117.16666666666667,148.7,70.8,98.7,93.5,112.06904761904761,9814.180102040815,75.96666666666667,104.65,124.15833333333333,123.7,93.5
106.95,99.1,128.65,45.45,80.3,105.6,110.95,116.2,331.6,54.55,79.8,99.71666666666667,83.75,115.25,147.55,72.2,98.3,92.5,111.27619047619046,9604.592857142856,74.86666666666667,103.4125,123.97708333333333,122.925,92.5
103.6,95.8,126.7,44.1,79.9,106.3,112.43333333333334,117.76666666666667,329.3,54.56666666666666,79.9,100.4,82.66666666666667,113.33333333333333,146.4,73.6,97.9,91.5,110.48333333333332,9395.005612244897,73.76666666666667,102.175,123.79583333333333,122.15,91.5
100.25,92.5,124.75,42.75,79.5,107.0,113.91666666666666,119.33333333333334,327.0,54.58333333333333,80.0,101.08333333333334,81.58333333333334,111.41666666666666,145.25,75.0,97.5,90.5,109.69047619047618,9185.418367346938,72.66666666666667,100.9375,123.61458333333333,121.375,90.5
96.9,89.2,122.8,41.4,79.1,107.7,115.4,120.9,324.7,54.6,80.1,101.76666666666667,80.5,109.5,144.1,76.4,97.1,89.5,108.89761904761905,8975.831122448979,71.56666666666668,99.7,123.43333333333332,120.6,89.5
93.55,85.9,120.85,40.05,78.7,108.4,116.88333333333333,122.46666666666667,322.4,54.61666666666667,80.2,102.45,79.41666666666667,107.58333333333333,142.95,77.8,96.7,88.5,108.1047619047619,8766.24387755102,70.46666666666667,98.4625,123.25208333333333,119.825,88.5
90.2,82.6,118.9,38.7,78.3,109.1,118.36666666666666,124.03333333333333,320.1,54.63333333333333,80.3,103.13333333333334,78.33333333333334,105.66666666666666,141.8,79.2,96.3,87.5,107.31190476190476,8556.656632653061,69.36666666666667,97.225,123.07083333333333,119.05,87.5
86.85,79.3,116.95,37.35,77.9,109.8,119.85,125.60000000000001,317.8,54.65,80.4,103.81666666666666,77.25,103.75,140.65,80.6,95.9,86.5,106.51904761904763,8347.069387755102,68.26666666666667,95.9875,122.88958333333333,118.275,86.5
83.5,76.0,115.0,36.0,77.5,110.5,121.33333333333333,127.16666666666667,315.5,54.666666666666664,80.5,104.5,76.16666666666667,101.83333333333333,139.5,82.0,95.5,85.5,105.72619047619048,8137.482142857142,67.16666666666667,94.75,122.70833333333333,117.5,85.5
84.2,76.35,113.25,36.75,77.95,108.1,121.05,126.2,313.9,55.4,80.05,107.01666666666667,78.71666666666667,101.36666666666666,138.4,80.05,95.8,83.95,105.7357142857143,7950.042346938775,67.0,93.9125,122.96249999999999,117.1,83.95
84.9,76.7,111.5,37.5,78.4,105.7,120.76666666666667,125.23333333333333,312.3,56.13333333333333,79.6,109.53333333333333,81.26666666666667,100.89999999999999,137.3,78.1,96.1,82.4,105.7452380952381,7762.602551020407,66.83333333333334,93.075,123.21666666666665,116.7,82.4
