S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
71.0,111.0,89.0,102.0,74.0,68.0,88.33333333333333,69.0,126.0,118.0,123.33333333333333,103.0,115.0,259.0,44.0,74.0,74.0,54.0,108.33333333333333,6762.115646258502,102.23333333333333,98.1111111111111,122.0,67.33333333333333
72.3,112.9,88.7,99.5,75.1,65.3,87.89999999999999,70.2,124.6,119.73333333333333,125.19999999999999,106.6,111.1,257.0,43.7,73.7,72.6,54.9,108.29523809523809,6839.85476190476,101.84,99.03333333333332,122.16666666666667,67.06666666666666
73.6,114.8,88.4,97.0,76.2,62.6,87.46666666666667,71.4,123.2,121.46666666666667,127.06666666666666,110.2,107.2,255.0,43.4,73.4,71.2,55.8,108.25714285714285,6917.593877551019,101.44666666666667,99.95555555555555,122.33333333333333,66.8
74.9,116.7,88.1,94.5,77.3,59.9,87.03333333333333,72.6,121.8,123.2,128.93333333333334,113.8,103.3,253.0,43.1,73.1,69.8,56.7,108.21904761904761,6995.3329931972785,101.05333333333333,100.87777777777777,122.5,66.53333333333333
76.2,118.6,87.8,92.0,78.4,57.2,86.6,73.8,120.4,124.93333333333334,130.8,117.4,99.4,251.0,42.8,72.8,68.4,57.6,108.18095238095238,7073.072108843537,100.66,101.8,122.66666666666667,66.26666666666667
77.5,120.5,87.5,89.5,79.5,54.5,86.16666666666666,75.0,119.0,126.66666666666667,132.66666666666666,121.0,95.5,249.0,42.5,72.5,67.0,58.5,108.14285714285714,7150.811224489795,100.26666666666667,102.72222222222221,122.83333333333334,66.0
78.8,122.4,87.2,87.0,80.6,51.8,85.73333333333333,76.2,117.6,128.4,134.53333333333333,124.6,91.6,247.0,42.2,72.2,65.6,59.4,108.10476190476192,7228.550340136054,99.87333333333333,103.64444444444443,123.0,65.73333333333333
80.1,124.3,86.9,84.5,81.7,49.099999999999994,85.3,77.4,116.2,130.13333333333333,136.4,128.2,87.7,245.0,41.9,71.9,64.2,60.3,108.06666666666668,7306.289455782313,99.48,104.56666666666666,123.16666666666667,65.46666666666667
81.4,126.2,86.6,82.0,82.8,46.4,84.86666666666666,78.6,114.8,131.86666666666667,138.26666666666665,131.8,83.8,243.0,41.6,71.6,62.8,61.2,108.02857142857144,7384.028571428571,99.08666666666666,105.48888888888888,123.33333333333334,65.2
82.7,128.1,86.3,79.5,83.9,43.7,84.43333333333334,79.8,113.4,133.60000000000002,140.13333333333333,135.4,79.9,241.0,41.3,71.3,61.4,62.1,107.9904761904762,7461.767687074829,98.69333333333333,106.41111111111111,123.5,64.93333333333334
84.0,130.0,86.0,77.0,85.0,41.0,84.0,81.0,112.0,135.33333333333334,142.0,139.0,76.0,239.0,41.0,71.0,60.0,63.0,107.95238095238096,7539.506802721088,98.3,107.33333333333333,123.66666666666667,64.66666666666667
88.2,129.1,86.4,76.7,85.2,42.6,85.03333333333333,79.53333333333333,112.76666666666667,131.70000000000002,141.7,141.13333333333333,74.23333333333333,240.63333333333333,42.5,74.7,59.0,60.9,108.20952380952382,7699.159863945578,98.75333333333333,108.47777777777777,122.23333333333333,64.86666666666667
92.4,128.2,86.8,76.4,85.4,44.2,86.06666666666666,78.06666666666666,113.53333333333333,128.06666666666666,141.4,143.26666666666668,72.46666666666667,242.26666666666668,44.0,78.4,58.0,58.8,108.46666666666667,7858.8129251700675,99.20666666666666,109.62222222222222,120.80000000000001,65.06666666666668
96.6,127.3,87.2,76.1,85.6,45.8,87.1,76.6,114.3,124.43333333333334,141.1,145.4,70.7,243.9,45.5,82.1,57.0,56.7,108.72380952380954,8018.465986394557,99.66,110.76666666666667,119.36666666666667,65.26666666666667
100.8,126.4,87.6,75.8,85.8,47.4,88.13333333333333,75.13333333333333,115.06666666666666,120.80000000000001,140.8,147.53333333333333,68.93333333333334,245.53333333333333,47.0,85.8,56.0,54.6,108.98095238095239,8178.119047619047,100.11333333333333,111.91111111111111,117.93333333333334,65.46666666666667
105.0,125.5,88.0,75.5,86.0,49.0,89.16666666666666,73.66666666666666,115.83333333333334,117.16666666666667,140.5,149.66666666666669,67.16666666666667,247.16666666666669,48.5,89.5,55.0,52.5,109.23809523809524,8337.772108843537,100.56666666666666,113.05555555555556,116.5,65.66666666666667
109.2,124.6,88.4,75.2,86.2,50.6,90.2,72.19999999999999,116.60000000000001,113.53333333333333,140.2,151.8,65.4,248.8,50.0,93.2,54.0,50.4,109.4952380952381,8497.425170068027,101.02000000000001,114.2,115.06666666666668,65.86666666666667
113.4,123.7,88.8,74.9,86.4,52.2,91.23333333333333,70.73333333333333,117.36666666666667,109.9,139.9,153.93333333333334,63.63333333333333,250.43333333333334,51.5,96.9,53.0,48.3,109.75238095238095,8657.078231292517,101.47333333333334,115.34444444444445,113.63333333333334,66.06666666666668
117.6,122.8,89.2,74.6,86.6,53.8,92.26666666666667,69.26666666666667,118.13333333333334,106.26666666666667,139.6,156.06666666666666,61.86666666666667,252.06666666666666,53.0,100.6,52.0,46.2,110.00952380952381,8816.731292517006,101.92666666666668,116.4888888888889,112.2,66.26666666666667
121.80000000000001,121.9,89.6,74.3,86.8,55.4,93.3,67.8,118.9,102.63333333333333,139.3,158.20000000000002,60.1,253.70000000000002,54.5,104.30000000000001,51.0,44.099999999999994,110.26666666666667,8976.384353741496,102.38000000000001,117.63333333333334,110.76666666666668,66.46666666666667
126.0,121.0,90.0,74.0,87.0,57.0,94.33333333333333,66.33333333333333,119.66666666666667,99.0,139.0,160.33333333333334,58.333333333333336,255.33333333333334,56.0,108.0,50.0,42.0,110.52380952380952,9136.037414965986,102.83333333333334,118.77777777777779,109.33333333333334,66.66666666666667
121.6,117.6,93.0,74.9,91.6,57.4,94.5,65.19999999999999,118.33333333333334,98.4,138.03333333333333,156.93333333333334,60.400000000000006,257.0,56.1,108.0,52.9,43.9,110.35,9230.043027210884,103.19000000000001,117.45555555555556,108.36666666666667,68.26666666666667
117.2,114.2,96.0,75.8,96.2,57.8,94.66666666666666,64.06666666666666,117.0,97.8,137.06666666666666,153.53333333333333,62.46666666666667,258.6666666666667,56.2,108.0,55.8,45.8,110.17619047619047,9324.048639455783,103.54666666666668,116.13333333333334,107.4,69.86666666666667
112.8,110.8,99.0,76.7,100.8,58.2,94.83333333333333,62.93333333333333,115.66666666666667,97.2,136.1,150.13333333333333,64.53333333333333,260.3333333333333,56.3,108.0,58.7,47.7,110.00238095238095,9418.05425170068,103.90333333333334,114.81111111111112,106.43333333333334,71.46666666666667
108.4,107.4,102.0,77.6,105.4,58.6,95.0,61.8,114.33333333333333,96.6,135.13333333333333,146.73333333333335,66.6,262.0,56.4,108.0,61.6,49.6,109.82857142857142,9512.059863945578,104.26,113.4888888888889,105.46666666666667,73.06666666666668
104.0,104.0,105.0,78.5,110.0,59.0,95.16666666666666,60.666666666666664,113.0,96.0,134.16666666666669,143.33333333333334,68.66666666666667,263.6666666666667,56.5,108.0,64.5,51.5,109.6547619047619,9606.065476190477,104.61666666666667,112.16666666666667,104.5,74.66666666666667
99.6,100.6,108.0,79.4,114.6,59.4,95.33333333333333,59.53333333333333,111.66666666666666,95.4,133.20000000000002,139.93333333333334,70.73333333333333,265.3333333333333,56.6,108.0,67.4,53.4,109.48095238095239,9700.071088435376,104.97333333333334,110.84444444444445,103.53333333333333,76.26666666666668
95.19999999999999,97.2,111.0,80.3,119.19999999999999,59.8,95.5,58.4,110.33333333333333,94.8,132.23333333333335,136.53333333333333,72.8,267.0,56.7,108.0,70.3,55.3,109.30714285714286,9794.076700680274,105.33000000000001,109.52222222222223,102.56666666666666,77.86666666666667
90.8,93.8,114.0,81.2,123.8,60.2,95.66666666666667,57.266666666666666,109.0,94.2,131.26666666666668,133.13333333333333,74.86666666666667,268.6666666666667,56.8,108.0,73.2,57.2,109.13333333333334,9888.082312925171,105.68666666666667,108.2,101.6,79.46666666666667
