S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
89.0,77.0,104.0,45.0,80.0,58.0,105.0,251.0,440.3333333333333,81.0,78.0,80.66666666666667,117.33333333333333,111.0,191.0,88.0,171.0,95.0,122.66666666666667,13789.731292517006,204.08333333333331,84.66666666666667,107.61904761904762,118.0
88.4,77.0,104.9,46.5,77.8,59.3,106.5,255.5,439.0333333333333,80.4,78.23333333333333,80.60000000000001,113.93333333333332,111.03333333333333,189.1,86.4,168.7,95.3,122.7952380952381,13843.998639455782,203.35833333333332,84.83333333333334,107.92380952380952,116.8
87.8,77.0,105.8,48.0,75.6,60.6,108.0,260.0,437.7333333333333,79.8,78.46666666666667,80.53333333333333,110.53333333333333,111.06666666666666,187.2,84.8,166.4,95.6,122.92380952380952,13898.265986394557,202.63333333333333,85.0,108.22857142857143,115.6
87.2,77.0,106.7,49.5,73.4,61.9,109.5,264.5,436.43333333333334,79.2,78.7,80.46666666666667,107.13333333333333,111.1,185.3,83.2,164.1,95.9,123.05238095238096,13952.533333333331,201.9083333333333,85.16666666666667,108.53333333333333,114.4
86.6,77.0,107.6,51.0,71.2,63.2,111.0,269.0,435.1333333333333,78.6,78.93333333333334,80.4,103.73333333333333,111.13333333333333,183.4,81.6,161.8,96.2,123.18095238095239,14006.800680272107,201.1833333333333,85.33333333333333,108.83809523809524,113.2
86.0,77.0,108.5,52.5,69.0,64.5,112.5,273.5,433.8333333333333,78.0,79.16666666666666,80.33333333333334,100.33333333333333,111.16666666666666,181.5,80.0,159.5,96.5,123.30952380952382,14061.068027210882,200.45833333333331,85.5,109.14285714285714,112.0
85.4,77.0,109.4,54.0,66.8,65.8,114.0,278.0,432.5333333333333,77.4,79.39999999999999,80.26666666666667,96.93333333333334,111.2,179.6,78.4,157.2,96.8,123.43809523809524,14115.335374149658,199.73333333333332,85.66666666666667,109.44761904761906,110.8
84.8,77.0,110.3,55.5,64.6,67.1,115.5,282.5,431.2333333333333,76.8,79.63333333333333,80.2,93.53333333333333,111.23333333333333,177.7,76.8,154.9,97.1,123.56666666666668,14169.602721088433,199.00833333333333,85.83333333333333,109.75238095238096,109.6
84.2,77.0,111.2,57.0,62.4,68.4,117.0,287.0,429.93333333333334,76.2,79.86666666666666,80.13333333333334,90.13333333333333,111.26666666666667,175.8,75.2,152.6,97.4,123.69523809523811,14223.870068027207,198.2833333333333,86.0,110.05714285714286,108.4
83.6,77.0,112.1,58.5,60.2,69.7,118.5,291.5,428.6333333333333,75.6,80.1,80.06666666666666,86.73333333333333,111.3,173.9,73.6,150.3,97.7,123.82380952380953,14278.137414965982,197.5583333333333,86.16666666666666,110.36190476190477,107.2
