S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5
129.0,123.0,66.0,60.0,75.0,60.0,117.0,111.0,225.0,48.0,67.0,18.0,81.0,90.0,39.0,18.0,63.0,66.0,90.71428571428571,2296.9183673469383,69.0,81.0,94.625,51.0,66.0
132.0,120.0,67.8,60.9,79.8,62.1,117.0,108.7,225.0,49.8,65.1,24.3,81.0,90.0,38.1,18.9,63.6,64.2,91.67857142857142,2255.6209183673463,70.6,82.425,95.1125,50.85,64.2
135.0,117.0,69.6,61.8,84.6,64.2,117.0,106.4,225.0,51.6,63.2,30.6,81.0,90.0,37.2,19.8,64.2,62.4,92.64285714285714,2214.323469387755,72.2,83.85,95.6,50.7,62.4
138.0,114.0,71.4,62.7,89.4,66.3,117.0,104.1,225.0,53.4,61.3,36.9,81.0,90.0,36.3,20.7,64.8,60.6,93.60714285714286,2173.0260204081633,73.8,85.275,96.0875,50.55,60.6
141.0,111.0,73.2,63.6,94.2,68.4,117.0,101.8,225.0,55.2,59.4,43.2,81.0,90.0,35.4,21.6,65.4,58.8,94.57142857142857,2131.7285714285713,75.4,86.7,96.575,50.4,58.8
144.0,108.0,75.0,64.5,99.0,70.5,117.0,99.5,225.0,57.0,57.5,49.5,81.0,90.0,34.5,22.5,66.0,57.0,95.53571428571428,2090.4311224489793,77.0,88.125,97.0625,50.25,57.0
147.0,105.0,76.8,65.4,103.8,72.6,117.0,97.2,225.0,58.8,55.6,55.8,81.0,90.0,33.6,23.4,66.6,55.2,96.5,2049.1336734693878,78.6,89.55,97.55,50.1,55.2
150.0,102.0,78.6,66.3,108.6,74.7,117.0,94.9,225.0,60.6,53.7,62.1,81.0,90.0,32.7,24.3,67.2,53.4,97.46428571428572,2007.836224489796,80.2,90.975,98.0375,49.95,53.4
153.0,99.0,80.4,67.2,113.4,76.8,117.0,92.6,225.0,62.4,51.8,68.4,81.0,90.0,31.8,25.2,67.8,51.6,98.42857142857143,1966.5387755102042,81.8,92.4,98.525,49.8,51.6
156.0,96.0,82.2,68.1,118.19999999999999,78.9,117.0,90.3,225.0,64.2,49.900000000000006,74.69999999999999,81.0,90.0,30.9,26.1,68.4,49.8,99.39285714285714,1925.2413265306125,83.4,93.825,99.0125,49.65,49.8
