S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
57.0,78.0,81.0,69.0,96.0,120.0,72.0,60.0,72.0,252.0,183.0,123.0,81.0,120.0,51.0,81.0,87.0,21.0,104.57142857142857,2730.673469387755,76.5,142.0,162.0,63.0
60.3,87.0,81.0,66.9,91.2,111.9,72.0,65.1,72.0,257.2,187.8,124.5,81.0,120.0,49.5,82.8,82.2,22.8,105.56428571428572,2985.759693877551,77.4,141.4,164.6,62.6
63.6,96.0,81.0,64.8,86.4,103.8,72.0,70.2,72.0,262.4,192.6,126.0,81.0,120.0,48.0,84.6,77.4,24.6,106.55714285714285,3240.8459183673467,78.3,140.8,167.2,62.2
66.9,105.0,81.0,62.7,81.6,95.7,72.0,75.3,72.0,267.6,197.4,127.5,81.0,120.0,46.5,86.4,72.6,26.4,107.55,3495.932142857143,79.2,140.2,169.8,61.8
70.2,114.0,81.0,60.6,76.8,87.6,72.0,80.4,72.0,272.8,202.2,129.0,81.0,120.0,45.0,88.2,67.8,28.2,108.54285714285714,3751.0183673469387,80.1,139.6,172.4,61.4
73.5,123.0,81.0,58.5,72.0,79.5,72.0,85.5,72.0,278.0,207.0,130.5,81.0,120.0,43.5,90.0,63.0,30.0,109.53571428571428,4006.1045918367345,81.0,139.0,175.0,61.0
76.8,132.0,81.0,56.4,67.2,71.4,72.0,90.6,72.0,283.2,211.8,132.0,81.0,120.0,42.0,91.8,58.2,31.8,110.52857142857142,4261.190816326531,81.9,138.4,177.6,60.6
80.1,141.0,81.0,54.3,62.4,63.300000000000004,72.0,95.69999999999999,72.0,288.4,216.6,133.5,81.0,120.0,40.5,93.6,53.4,33.6,111.52142857142857,4516.277040816326,82.8,137.8,180.2,60.2
83.4,150.0,81.0,52.2,57.6,55.2,72.0,100.8,72.0,293.6,221.4,135.0,81.0,120.0,39.0,95.4,48.6,35.4,112.51428571428572,4771.363265306122,83.7,137.2,182.8,59.8
86.7,159.0,81.0,50.099999999999994,52.800000000000004,47.10000000000001,72.0,105.9,72.0,298.8,226.2,136.5,81.0,120.0,37.5,97.2,43.800000000000004,37.2,113.50714285714285,5026.4494897959175,84.6,136.6,185.4,59.4
90.0,168.0,81.0,48.0,48.0,39.0,72.0,111.0,72.0,304.0,231.0,138.0,81.0,120.0,36.0,99.0,39.0,39.0,114.5,5281.535714285714,85.5,136.0,188.0,59.0
92.7,168.9,83.1,50.1,46.8,39.6,72.0,107.7,71.2,296.4,231.0,135.1,78.7,116.7,36.0,93.9,36.9,40.8,113.57142857142857,5125.141836734693,85.27,135.23333333333335,183.8,57.2
95.4,169.8,85.2,52.2,45.6,40.2,72.0,104.4,70.4,288.8,231.0,132.2,76.4,113.4,36.0,88.8,34.8,42.6,112.64285714285714,4968.747959183673,85.04,134.46666666666667,179.6,55.4
98.1,170.7,87.3,54.3,44.4,40.8,72.0,101.1,69.6,281.2,231.0,129.3,74.1,110.1,36.0,83.7,32.7,44.4,111.71428571428571,4812.354081632653,84.81,133.7,175.4,53.6
100.8,171.6,89.4,56.4,43.2,41.4,72.0,97.8,68.8,273.6,231.0,126.4,71.8,106.8,36.0,78.6,30.6,46.2,110.78571428571428,4655.960204081633,84.58,132.93333333333334,171.2,51.8
103.5,172.5,91.5,58.5,42.0,42.0,72.0,94.5,68.0,266.0,231.0,123.5,69.5,103.5,36.0,73.5,28.5,48.0,109.85714285714286,4499.566326530612,84.35,132.16666666666669,167.0,50.0
106.2,173.4,93.6,60.6,40.8,42.6,72.0,91.2,67.2,258.4,231.0,120.6,67.2,100.2,36.0,68.4,26.4,49.8,108.92857142857143,4343.172448979592,84.12,131.4,162.8,48.2
108.9,174.3,95.7,62.7,39.6,43.2,72.0,87.9,66.4,250.8,231.0,117.7,64.9,96.9,36.0,63.300000000000004,24.299999999999997,51.6,108.0,4186.778571428572,83.89,130.63333333333333,158.6,46.4
111.6,175.2,97.8,64.8,38.4,43.8,72.0,84.6,65.6,243.2,231.0,114.8,62.6,93.6,36.0,58.2,22.2,53.4,107.07142857142857,4030.3846938775514,83.66,129.86666666666667,154.4,44.6
114.3,176.1,99.9,66.9,37.2,44.4,72.0,81.3,64.8,235.60000000000002,231.0,111.9,60.3,90.3,36.0,53.1,20.099999999999998,55.2,106.14285714285714,3873.990816326531,83.43,129.10000000000002,150.2,42.8
117.0,177.0,102.0,69.0,36.0,45.0,72.0,78.0,64.0,228.0,231.0,109.0,58.0,87.0,36.0,48.0,18.0,57.0,105.21428571428571,3717.596938775511,83.2,128.33333333333334,146.0,41.0
111.0,168.0,104.1,69.9,44.1,50.7,72.0,78.0,61.5,228.0,227.8,106.2,60.3,84.6,35.1,52.5,18.0,57.0,104.72857142857143,3607.174489795919,82.71000000000001,128.23333333333335,144.75,42.5
105.0,159.0,106.2,70.8,52.2,56.4,72.0,78.0,59.0,228.0,224.6,103.4,62.6,82.2,34.2,57.0,18.0,57.0,104.24285714285713,3496.752040816327,82.22,128.13333333333333,143.5,44.0
99.0,150.0,108.3,71.7,60.3,62.1,72.0,78.0,56.5,228.0,221.4,100.6,64.9,79.8,33.3,61.5,18.0,57.0,103.75714285714285,3386.329591836735,81.73,128.03333333333333,142.25,45.5
93.0,141.0,110.4,72.6,68.4,67.8,72.0,78.0,54.0,228.0,218.2,97.8,67.2,77.4,32.4,66.0,18.0,57.0,103.27142857142857,3275.907142857143,81.24,127.93333333333334,141.0,47.0
87.0,132.0,112.5,73.5,76.5,73.5,72.0,78.0,51.5,228.0,215.0,95.0,69.5,75.0,31.5,70.5,18.0,57.0,102.78571428571428,3165.484693877551,80.75,127.83333333333334,139.75,48.5
