S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
36.0,27.0,66.0,18.0,72.0,48.0,72.0,294.0,567.0,99.0,93.0,99.0,108.0,99.0,150.0,30.0,81.0,111.0,121.28571428571429,19362.489795918373,220.5,70.5,97.71428571428571,74.0
38.7,30.0,72.9,18.0,71.4,51.3,72.9,307.5,562.3,95.1,93.0,98.1,105.7,100.9,147.3,34.2,88.8,111.0,122.7,19443.465306122453,219.4,72.25,99.78571428571428,78.0
41.4,33.0,79.8,18.0,70.8,54.6,73.8,321.0,557.6,91.2,93.0,97.2,103.4,102.8,144.6,38.4,96.6,111.0,124.11428571428571,19524.440816326533,218.3,74.0,101.85714285714285,82.0
44.1,36.0,86.7,18.0,70.2,57.9,74.7,334.5,552.9,87.3,93.0,96.3,101.1,104.7,141.9,42.6,104.4,111.0,125.52857142857142,19605.416326530616,217.2,75.75,103.92857142857143,86.0
46.8,39.0,93.6,18.0,69.6,61.2,75.6,348.0,548.2,83.4,93.0,95.4,98.8,106.6,139.2,46.8,112.2,111.0,126.94285714285714,19686.391836734696,216.1,77.5,106.0,90.0
49.5,42.0,100.5,18.0,69.0,64.5,76.5,361.5,543.5,79.5,93.0,94.5,96.5,108.5,136.5,51.0,120.0,111.0,128.35714285714286,19767.367346938776,215.0,79.25,108.07142857142857,94.0
52.2,45.0,107.4,18.0,68.4,67.8,77.4,375.0,538.8,75.6,93.0,93.6,94.2,110.4,133.8,55.2,127.8,111.0,129.77142857142857,19848.342857142856,213.9,81.0,110.14285714285714,98.0
54.900000000000006,48.0,114.30000000000001,18.0,67.8,71.1,78.3,388.5,534.1,71.7,93.0,92.7,91.9,112.3,131.1,59.400000000000006,135.6,111.0,131.18571428571428,19929.318367346936,212.8,82.75,112.21428571428571,102.0
57.6,51.0,121.2,18.0,67.2,74.4,79.2,402.0,529.4,67.8,93.0,91.8,89.6,114.2,128.4,63.6,143.4,111.0,132.6,20010.29387755102,211.7,84.5,114.28571428571428,106.0
60.3,54.0,128.1,18.0,66.6,77.7,80.1,415.5,524.7,63.9,93.0,90.9,87.3,116.1,125.7,67.80000000000001,151.2,111.0,134.0142857142857,20091.2693877551,210.6,86.25,116.35714285714286,110.0
63.0,57.0,135.0,18.0,66.0,81.0,81.0,429.0,520.0,60.0,93.0,90.0,85.0,118.0,123.0,72.0,159.0,111.0,135.42857142857142,20172.24489795918,209.5,88.0,118.42857142857143,114.0
63.3,60.3,141.3,18.0,62.1,80.1,81.0,436.2,508.2,60.0,93.0,89.1,84.6,121.8,126.3,76.2,155.4,106.8,135.64285714285714,20025.07346938775,208.95,88.575,119.31428571428572,112.8
63.6,63.6,147.6,18.0,58.2,79.2,81.0,443.4,496.4,60.0,93.0,88.2,84.2,125.6,129.6,80.4,151.8,102.6,135.85714285714286,19877.902040816323,208.4,89.15,120.2,111.6
63.9,66.9,153.9,18.0,54.3,78.3,81.0,450.6,484.6,60.0,93.0,87.3,83.8,129.4,132.9,84.6,148.2,98.4,136.07142857142856,19730.730612244894,207.85,89.725,121.08571428571429,110.4
64.2,70.2,160.2,18.0,50.4,77.4,81.0,457.8,472.8,60.0,93.0,86.4,83.4,133.2,136.2,88.8,144.6,94.2,136.28571428571428,19583.559183673467,207.3,90.3,121.97142857142858,109.2
64.5,73.5,166.5,18.0,46.5,76.5,81.0,465.0,461.0,60.0,93.0,85.5,83.0,137.0,139.5,93.0,141.0,90.0,136.5,19436.387755102038,206.75,90.875,122.85714285714286,108.0
64.8,76.8,172.8,18.0,42.6,75.6,81.0,472.2,449.2,60.0,93.0,84.6,82.6,140.8,142.8,97.2,137.4,85.8,136.71428571428572,19289.216326530608,206.2,91.45,123.74285714285715,106.8
65.1,80.1,179.1,18.0,38.7,74.7,81.0,479.4,437.4,60.0,93.0,83.7,82.2,144.6,146.1,101.4,133.8,81.6,136.92857142857144,19142.044897959182,205.65,92.025,124.62857142857143,105.6
65.4,83.4,185.4,18.0,34.8,73.8,81.0,486.6,425.6,60.0,93.0,82.8,81.8,148.4,149.4,105.6,130.2,77.4,137.14285714285714,18994.873469387752,205.1,92.6,125.51428571428572,104.4
65.7,86.7,191.7,18.0,30.9,72.9,81.0,493.8,413.8,60.0,93.0,81.9,81.4,152.2,152.7,109.80000000000001,126.6,73.19999999999999,137.35714285714286,18847.702040816326,204.55,93.175,126.4,103.2
66.0,90.0,198.0,18.0,27.0,72.0,81.0,501.0,402.0,60.0,93.0,81.0,81.0,156.0,156.0,114.0,123.0,69.0,137.57142857142858,18700.530612244896,204.0,93.75,127.28571428571429,102.0
67.2,102.6,194.1,19.8,28.8,73.2,81.0,501.0,402.0,59.8,95.1,79.0,79.2,156.0,155.7,107.7,120.3,66.0,138.4857142857143,18649.04081632653,202.9,93.85,129.64285714285714,98.0
68.4,115.2,190.2,21.6,30.6,74.4,81.0,501.0,402.0,59.6,97.2,77.0,77.4,156.0,155.4,101.4,117.6,63.0,139.4,18597.551020408162,201.8,93.95,132.0,94.0
69.6,127.8,186.3,23.4,32.4,75.6,81.0,501.0,402.0,59.4,99.3,75.0,75.6,156.0,155.1,95.1,114.9,60.0,140.31428571428572,18546.061224489797,200.7,94.05,134.35714285714286,90.0
70.8,140.4,182.4,25.2,34.2,76.8,81.0,501.0,402.0,59.2,101.4,73.0,73.8,156.0,154.8,88.8,112.2,57.0,141.22857142857143,18494.571428571428,199.6,94.15,136.71428571428572,86.0
72.0,153.0,178.5,27.0,36.0,78.0,81.0,501.0,402.0,59.0,103.5,71.0,72.0,156.0,154.5,82.5,109.5,54.0,142.14285714285717,18443.081632653062,198.5,94.25,139.07142857142858,82.0
73.2,165.6,174.6,28.8,37.8,79.2,81.0,501.0,402.0,58.8,105.6,69.0,70.2,156.0,154.2,76.2,106.8,51.0,143.05714285714288,18391.591836734697,197.4,94.35,141.42857142857144,78.0
74.4,178.2,170.7,30.6,39.6,80.4,81.0,501.0,402.0,58.6,107.7,67.0,68.4,156.0,153.9,69.9,104.1,48.0,143.9714285714286,18340.102040816328,196.3,94.45,143.78571428571428,74.0
